 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 17, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   6.50 MeV   8.866E+02  1.191E+00    9.78 um     3483 A      4093 A   
   7.00 MeV   8.754E+02  1.118E+00   10.35 um     3586 A      4141 A   
   8.00 MeV   8.503E+02  9.976E-01   11.50 um     3962 A      4234 A   
   9.00 MeV   8.235E+02  9.017E-01   12.70 um     4325 A      4325 A   
  10.00 MeV   7.964E+02  8.236E-01   13.93 um     4682 A      4415 A   
  11.00 MeV   7.698E+02  7.586E-01   15.21 um     5035 A      4506 A   
  12.00 MeV   7.440E+02  7.037E-01   16.53 um     5387 A      4597 A   
  13.00 MeV   7.193E+02  6.565E-01   17.89 um     5740 A      4691 A   
  14.00 MeV   6.958E+02  6.157E-01   19.30 um     6094 A      4786 A   
  15.00 MeV   6.736E+02  5.799E-01   20.76 um     6451 A      4884 A   
  16.00 MeV   6.526E+02  5.482E-01   22.27 um     6811 A      4985 A   
  17.00 MeV   6.327E+02  5.201E-01   23.82 um     7174 A      5088 A   
  18.00 MeV   6.140E+02  4.948E-01   25.43 um     7541 A      5195 A   
  20.00 MeV   5.797E+02  4.513E-01   28.78 um     8938 A      5418 A   
  22.50 MeV   5.419E+02  4.071E-01   33.23 um     1.10 um     5718 A   
  25.00 MeV   5.136E+02  3.712E-01   37.97 um     1.29 um     6039 A   
  27.50 MeV   4.921E+02  3.414E-01   42.94 um     1.47 um     6381 A   
  30.00 MeV   4.674E+02  3.162E-01   48.15 um     1.65 um     6743 A   
  32.50 MeV   4.431E+02  2.947E-01   53.64 um     1.83 um     7127 A   
  35.00 MeV   4.216E+02  2.761E-01   59.42 um     2.01 um     7534 A   
  37.50 MeV   4.025E+02  2.598E-01   65.49 um     2.19 um     7965 A   
  40.00 MeV   3.853E+02  2.454E-01   71.83 um     2.37 um     8418 A   
  45.00 MeV   3.558E+02  2.211E-01   85.33 um     3.05 um     9392 A   
  50.00 MeV   3.311E+02  2.014E-01   99.90 um     3.69 um     1.05 um  
  55.00 MeV   3.102E+02  1.850E-01  115.49 um     4.30 um     1.16 um  
  60.00 MeV   2.921E+02  1.712E-01  132.10 um     4.91 um     1.28 um  
  65.00 MeV   2.762E+02  1.595E-01  149.70 um     5.51 um     1.41 um  
  70.00 MeV   2.622E+02  1.493E-01  168.27 um     6.12 um     1.55 um  
  80.00 MeV   2.382E+02  1.325E-01  208.28 um     8.35 um     1.85 um  
  90.00 MeV   2.184E+02  1.193E-01  252.11 um    10.41 um     2.17 um  
 100.00 MeV   2.016E+02  1.085E-01  299.75 um    12.42 um     2.52 um  
 110.00 MeV   1.872E+02  9.965E-02  351.22 um    14.42 um     2.90 um  
 120.00 MeV   1.745E+02  9.217E-02  406.54 um    16.42 um     3.30 um  
 130.00 MeV   1.633E+02  8.578E-02  465.76 um    18.46 um     3.73 um  
 140.00 MeV   1.534E+02  8.025E-02  528.92 um    20.53 um     4.19 um  
 150.00 MeV   1.445E+02  7.542E-02  596.08 um    22.64 um     4.68 um  
 160.00 MeV   1.364E+02  7.116E-02  667.30 um    24.81 um     5.19 um  
 170.00 MeV   1.291E+02  6.738E-02  742.62 um    27.03 um     5.74 um  
 180.00 MeV   1.225E+02  6.400E-02  822.09 um    29.30 um     6.31 um  
 200.00 MeV   1.111E+02  5.819E-02  993.50 um    38.09 um     7.55 um  
 225.00 MeV   9.939E+01  5.232E-02    1.23 mm    50.91 um     9.26 um  
 250.00 MeV   9.006E+01  4.756E-02    1.50 mm    63.24 um    11.17 um  
 275.00 MeV   8.262E+01  4.363E-02    1.79 mm    75.45 um    13.26 um  
 300.00 MeV   7.674E+01  4.032E-02    2.10 mm    87.64 um    15.54 um  
 325.00 MeV   7.216E+01  3.750E-02    2.44 mm    99.79 um    17.97 um  
 350.00 MeV   6.868E+01  3.506E-02    2.79 mm   111.82 um    20.55 um  
 375.00 MeV   6.533E+01  3.293E-02    3.16 mm   123.76 um    23.25 um  
 400.00 MeV   6.196E+01  3.106E-02    3.56 mm   135.78 um    26.09 um  
 450.00 MeV   5.627E+01  2.790E-02    4.40 mm   181.30 um    32.19 um  
 500.00 MeV   5.164E+01  2.535E-02    5.33 mm   224.03 um    38.84 um  
 550.00 MeV   4.780E+01  2.324E-02    6.34 mm   265.68 um    46.02 um  
 600.00 MeV   4.456E+01  2.147E-02    7.42 mm   306.97 um    53.71 um  
 650.00 MeV   4.179E+01  1.996E-02    8.58 mm   348.27 um    61.91 um  
 700.00 MeV   3.939E+01  1.865E-02    9.81 mm   389.77 um    70.60 um  
 800.00 MeV   3.543E+01  1.651E-02   12.49 mm   544.05 um    89.40 um  
 900.00 MeV   3.231E+01  1.482E-02   15.44 mm   686.78 um   110.03 um  
   1.00 GeV   2.978E+01  1.346E-02   18.67 mm   825.08 um   132.39 um  
   1.10 GeV   2.768E+01  1.233E-02   22.15 mm   961.70 um   156.41 um  
   1.20 GeV   2.592E+01  1.139E-02   25.88 mm     1.10 mm   182.02 um  
   1.30 GeV   2.441E+01  1.058E-02   29.86 mm     1.23 mm   209.14 um  
   1.40 GeV   2.311E+01  9.884E-03   34.06 mm     1.37 mm   237.71 um  
   1.50 GeV   2.198E+01  9.277E-03   38.50 mm     1.51 mm   267.66 um  
   1.60 GeV   2.098E+01  8.743E-03   43.16 mm     1.65 mm   298.95 um  
   1.70 GeV   2.009E+01  8.269E-03   48.03 mm     1.79 mm   331.52 um  
   1.80 GeV   1.930E+01  7.845E-03   53.10 mm     1.93 mm   365.31 um  
   2.00 GeV   1.795E+01  7.120E-03   63.85 mm     2.46 mm   436.40 um  
   2.25 GeV   1.658E+01  6.388E-03   78.34 mm     3.20 mm   531.32 um  
   2.50 GeV   1.548E+01  5.797E-03   93.94 mm     3.89 mm   632.38 um  
   2.75 GeV   1.458E+01  5.309E-03  110.58 mm     4.55 mm   738.97 um  
   3.00 GeV   1.382E+01  4.899E-03  128.18 mm     5.19 mm   850.59 um  
   3.25 GeV   1.318E+01  4.550E-03  146.70 mm     5.82 mm   966.75 um  
   3.50 GeV   1.263E+01  4.249E-03  166.07 mm     6.43 mm     1.09 mm  
   3.75 GeV   1.215E+01  3.986E-03  186.25 mm     7.04 mm     1.21 mm  
   4.00 GeV   1.174E+01  3.756E-03  207.17 mm     7.64 mm     1.34 mm  
