Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.265443  	4.000000	0.325772  	4.000000	0.327637  	4.000000	0.327637  	4.000000	0.325566  	4.000000	0.000205852	
4.500000	0.244324  	4.500000	0.29952   	4.500000	0.302719  	4.500000	0.302719  	4.500000	0.299334  	4.500000	0.000185431	
5.000000	0.226502  	5.000000	0.277407  	5.000000	0.28143   	5.000000	0.28143   	5.000000	0.277238  	5.000000	0.000168861	
5.500000	0.211254  	5.500000	0.258485  	5.500000	0.263035  	5.500000	0.263035  	5.500000	0.25833   	5.500000	0.000155134	
6.000000	0.198053  	6.000000	0.24209   	6.000000	0.24698   	6.000000	0.24698   	6.000000	0.241947  	6.000000	0.000143564	
6.500000	0.186508  	6.500000	0.227736  	6.500000	0.232846  	6.500000	0.232846  	6.500000	0.227602  	6.500000	0.000133674	
7.000000	0.176322  	7.000000	0.215056  	7.000000	0.220306  	7.000000	0.220306  	7.000000	0.214931  	7.000000	0.000125118	
7.500000	0.167266  	7.500000	0.203771  	7.500000	0.209102  	7.500000	0.209102  	7.500000	0.203654  	7.500000	0.000117638	
8.000000	0.159158  	8.000000	0.19366   	8.000000	0.199032  	8.000000	0.199032  	8.000000	0.193549  	8.000000	0.000111041	
8.500000	0.151855  	8.500000	0.184546  	8.500000	0.18993   	8.500000	0.18993   	8.500000	0.184441  	8.500000	0.000105178	
9.000000	0.145241  	9.000000	0.176288  	9.000000	0.181661  	9.000000	0.181661  	9.000000	0.176188  	9.000000	9.99293e-05	
9.500000	0.139222  	9.500000	0.168769  	9.500000	0.174115  	9.500000	0.174115  	9.500000	0.168674  	9.500000	9.52029e-05	
10.000000	0.133719  	10.000000	0.163376  	10.000000	0.1672    	10.000000	0.1672    	10.000000	0.163285  	10.000000	9.09232e-05	
11.000000	0.124016  	11.000000	0.151957  	11.000000	0.154827  	11.000000	0.154931  	11.000000	0.151874  	11.000000	8.34691e-05	
12.000000	0.115727  	12.000000	0.142103  	12.000000	0.14424   	12.000000	0.144412  	12.000000	0.142026  	12.000000	7.71925e-05	
13.000000	0.10856   	13.000000	0.133516  	13.000000	0.135079  	13.000000	0.135295  	13.000000	0.133444  	13.000000	7.18313e-05	
14.000000	0.102299  	14.000000	0.125965  	14.000000	0.127076  	14.000000	0.127321  	14.000000	0.125898  	14.000000	6.71963e-05	
15.000000	0.0967789 	15.000000	0.119275  	15.000000	0.120026  	15.000000	0.120289  	15.000000	0.119212  	15.000000	6.31474e-05	
16.000000	0.0918748 	16.000000	0.113307  	16.000000	0.113772  	16.000000	0.114044  	16.000000	0.113247  	16.000000	5.95785e-05	
17.000000	0.0874874 	17.000000	0.107949  	17.000000	0.10819   	17.000000	0.108462  	17.000000	0.107892  	17.000000	5.64079e-05	
18.000000	0.0835377 	18.000000	0.103112  	18.000000	0.103174  	18.000000	0.103446  	18.000000	0.103058  	18.000000	5.35716e-05	
19.000000	0.0799626 	19.000000	0.0987226 	19.000000	0.0986445 	19.000000	0.0989136 	19.000000	0.0986716 	19.000000	5.10186e-05	
20.000000	0.0767103 	20.000000	0.094722  	20.000000	0.0945384 	20.000000	0.094801  	20.000000	0.0946733 	20.000000	4.87079e-05	
21.000000	0.0737382 	21.000000	0.09106   	21.000000	0.0908008 	21.000000	0.0910535 	21.000000	0.0910134 	21.000000	4.66061e-05	
22.000000	0.0710112 	22.000000	0.0876952 	22.000000	0.0873836 	22.000000	0.0876261 	22.000000	0.0876505 	22.000000	4.46857e-05	
23.000000	0.0684997 	23.000000	0.0845924 	23.000000	0.0842478 	23.000000	0.0844806 	23.000000	0.0845495 	23.000000	4.29239e-05	
24.000000	0.0661786 	24.000000	0.081722  	24.000000	0.0813612 	24.000000	0.081585  	24.000000	0.0816807 	24.000000	4.13015e-05	
25.000000	0.0640267 	25.000000	0.0790586 	25.000000	0.0786967 	25.000000	0.0789117 	25.000000	0.0790188 	25.000000	3.98023e-05	
27.000000	0.0601606 	27.000000	0.0742684 	27.000000	0.0739464 	27.000000	0.0741413 	27.000000	0.0742312 	27.000000	3.7121e-05	
29.000000	0.0567839 	29.000000	0.0700801 	29.000000	0.0698466 	29.000000	0.0700169 	29.000000	0.0700453 	29.000000	3.47918e-05	
31.000000	0.0538078 	31.000000	0.0663859 	31.000000	0.0662268 	31.000000	0.0663663 	31.000000	0.0663531 	31.000000	3.27486e-05	
33.000000	0.0511639 	33.000000	0.0631024 	33.000000	0.0629695 	33.000000	0.0630807 	33.000000	0.0630714 	33.000000	3.09413e-05	
35.000000	0.0487986 	35.000000	0.0601639 	35.000000	0.0600559 	35.000000	0.0601422 	35.000000	0.0601346 	35.000000	2.93307e-05	
38.000000	0.0456822 	38.000000	0.0562918 	38.000000	0.0562173 	38.000000	0.056272  	38.000000	0.0562646 	38.000000	2.72178e-05	
41.000000	0.0429883 	41.000000	0.0529445 	41.000000	0.0529001 	41.000000	0.0529277 	41.000000	0.0529191 	41.000000	2.53999e-05	
44.000000	0.0406349 	44.000000	0.0500211 	44.000000	0.0499957 	44.000000	0.0500073 	44.000000	0.0499973 	44.000000	2.38184e-05	
47.000000	0.0385603 	47.000000	0.0474449 	47.000000	0.0474394 	47.000000	0.0474337 	47.000000	0.0474225 	47.000000	2.24295e-05	
50.000000	0.0367168 	50.000000	0.0451569 	50.000000	0.0451672 	50.000000	0.0451479 	50.000000	0.0451357 	50.000000	2.11997e-05	
55.000000	0.0340603 	55.000000	0.0418623 	55.000000	0.0418888 	55.000000	0.0418558 	55.000000	0.0418429 	55.000000	1.94347e-05	
60.000000	0.0318163 	60.000000	0.0390827 	60.000000	0.0391206 	60.000000	0.0390772 	60.000000	0.0390647 	60.000000	1.7951e-05	
65.000000	0.0298941 	65.000000	0.0367048 	65.000000	0.0367475 	65.000000	0.0366993 	65.000000	0.0366881 	65.000000	1.66855e-05	
70.000000	0.0282278 	70.000000	0.0346465 	70.000000	0.0346973 	70.000000	0.0346401 	70.000000	0.0346309 	70.000000	1.55929e-05	
75.000000	0.0267685 	75.000000	0.0328468 	75.000000	0.032898  	75.000000	0.0328388 	75.000000	0.0328322 	75.000000	1.46395e-05	
80.000000	0.0254792 	80.000000	0.0312594 	80.000000	0.0313139 	80.000000	0.0312494 	80.000000	0.0312456 	80.000000	1.38001e-05	
85.000000	0.0243313 	85.000000	0.0298484 	85.000000	0.0299013 	85.000000	0.029836  	85.000000	0.0298353 	85.000000	1.30551e-05	
90.000000	0.0233021 	90.000000	0.0285856 	90.000000	0.0286402 	90.000000	0.0285707 	90.000000	0.0285732 	90.000000	1.23893e-05	
95.000000	0.0223739 	95.000000	0.0274486 	95.000000	0.0275008 	95.000000	0.0274312 	95.000000	0.0274368 	95.000000	1.17906e-05	
100.000000	0.021532  	100.000000	0.0264194 	100.000000	0.026469  	100.000000	0.0263993 	100.000000	0.0264082 	100.000000	1.12491e-05	
105.000000	0.0207647 	105.000000	0.0254832 	105.000000	0.02553   	105.000000	0.0254605 	105.000000	0.0254724 	105.000000	1.07569e-05	
110.000000	0.0200624 	110.000000	0.0246278 	110.000000	0.0246746 	110.000000	0.0246025 	110.000000	0.0246175 	110.000000	1.03076e-05	
115.000000	0.0194168 	115.000000	0.0238431 	115.000000	0.0238882 	115.000000	0.0238153 	115.000000	0.0238332 	115.000000	9.89565e-06	
120.000000	0.0188213 	120.000000	0.0231205 	120.000000	0.0231627 	120.000000	0.0230904 	120.000000	0.023111  	120.000000	9.51655e-06	
125.000000	0.01827   	125.000000	0.022453  	125.000000	0.0224929 	125.000000	0.0224207 	125.000000	0.0224439 	125.000000	9.16648e-06	
130.000000	0.0177582 	130.000000	0.0218345 	130.000000	0.0218719 	130.000000	0.0218    	130.000000	0.0218256 	130.000000	8.84218e-06	
135.000000	0.0172815 	135.000000	0.0212596 	135.000000	0.0212948 	135.000000	0.0212231 	135.000000	0.0212511 	135.000000	8.54088e-06	
140.000000	0.0168365 	140.000000	0.020724  	140.000000	0.020757  	140.000000	0.0206856 	140.000000	0.0207157 	140.000000	8.26018e-06	
145.000000	0.0164199 	145.000000	0.0202236 	145.000000	0.0202546 	145.000000	0.0201835 	145.000000	0.0202156 	145.000000	7.99801e-06	
150.000000	0.0160291 	150.000000	0.0197551 	150.000000	0.0197843 	150.000000	0.0197134 	150.000000	0.0197474 	150.000000	7.75258e-06	
155.000000	0.0154789 	155.000000	0.0193156 	155.000000	0.019343  	155.000000	0.0192724 	155.000000	0.0193081 	155.000000	7.52232e-06	
160.000000	0.0151563 	160.000000	0.0189024 	160.000000	0.0189281 	160.000000	0.0188578 	160.000000	0.0188951 	160.000000	7.30583e-06	
165.000000	0.0148522 	165.000000	0.0185132 	165.000000	0.0185374 	165.000000	0.0184674 	165.000000	0.0185061 	165.000000	7.10191e-06	
170.000000	0.0145649 	170.000000	0.0181459 	170.000000	0.0181687 	170.000000	0.018099  	170.000000	0.018139  	170.000000	6.90948e-06	
175.000000	0.014293  	175.000000	0.0177988 	175.000000	0.0178204 	175.000000	0.0177509 	175.000000	0.0177921 	175.000000	6.72758e-06	
180.000000	0.0140354 	180.000000	0.0174703 	180.000000	0.0174906 	180.000000	0.0174215 	180.000000	0.0174637 	180.000000	6.55536e-06	
185.000000	0.0137908 	185.000000	0.0171588 	185.000000	0.0171781 	185.000000	0.0171092 	185.000000	0.0171524 	185.000000	6.39206e-06	
190.000000	0.0135585 	190.000000	0.0168632 	190.000000	0.0168815 	190.000000	0.0168128 	190.000000	0.0168569 	190.000000	6.237e-06 	
195.000000	0.0133373 	195.000000	0.0165821 	195.000000	0.0165995 	195.000000	0.0165312 	195.000000	0.016576  	195.000000	6.08955e-06	
200.000000	0.0131266 	200.000000	0.0163146 	200.000000	0.0163313 	200.000000	0.0162632 	200.000000	0.0163086 	200.000000	5.94917e-06	
210.000000	0.0127336 	210.000000	0.0158165 	210.000000	0.0158319 	210.000000	0.0157643 	210.000000	0.0158108 	210.000000	5.68764e-06	
220.000000	0.0123744 	220.000000	0.0153622 	220.000000	0.0153768 	220.000000	0.0153097 	220.000000	0.0153568 	220.000000	5.44892e-06	
230.000000	0.0120448 	230.000000	0.0149463 	230.000000	0.0149602 	230.000000	0.0148936 	230.000000	0.0149411 	230.000000	5.23011e-06	
240.000000	0.0117413 	240.000000	0.014564  	240.000000	0.0145775 	240.000000	0.0145114 	240.000000	0.014559  	240.000000	5.0288e-06	
250.000000	0.0114608 	250.000000	0.0142115 	250.000000	0.0142251 	250.000000	0.0141593 	250.000000	0.0142067 	250.000000	4.84294e-06	
260.000000	0.0112009 	260.000000	0.0138855 	260.000000	0.0138985 	260.000000	0.0138338 	260.000000	0.0138808 	260.000000	4.6708e-06	
270.000000	0.0109593 	270.000000	0.013583  	270.000000	0.0135953 	270.000000	0.0135321 	270.000000	0.0135785 	270.000000	4.5109e-06	
280.000000	0.0107342 	280.000000	0.0133017 	280.000000	0.0133147 	280.000000	0.0132517 	280.000000	0.0132974 	280.000000	4.36197e-06	
290.000000	0.010524  	290.000000	0.0130395 	290.000000	0.0130532 	290.000000	0.0129905 	290.000000	0.0130352 	290.000000	4.22289e-06	
300.000000	0.0103271 	300.000000	0.0127944 	300.000000	0.0128089 	300.000000	0.0127467 	300.000000	0.0127903 	300.000000	4.09271e-06	
310.000000	0.0101425 	310.000000	0.0125649 	310.000000	0.0125805 	310.000000	0.0125185 	310.000000	0.0125609 	310.000000	3.97059e-06	
320.000000	0.00996896	320.000000	0.0123496 	320.000000	0.0123663 	320.000000	0.0123046 	320.000000	0.0123457 	320.000000	3.85581e-06	
330.000000	0.00980555	330.000000	0.0121472 	330.000000	0.012165  	330.000000	0.0121038 	330.000000	0.0121434 	330.000000	3.7477e-06	
340.000000	0.00965143	340.000000	0.0119566 	340.000000	0.0119758 	340.000000	0.0119148 	340.000000	0.011953  	340.000000	3.64569e-06	
350.000000	0.00950584	350.000000	0.0117769 	350.000000	0.0117976 	350.000000	0.0117367 	350.000000	0.0117733 	350.000000	3.54929e-06	
