Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	1.63141   	4.000000	1.57986   	4.000000	1.59787   	4.000000	1.59787   	4.000000	1.57878   	4.000000	0.0010829 	
4.500000	1.53358   	4.500000	1.49102   	4.500000	1.50719   	4.500000	1.50719   	4.500000	1.49004   	4.500000	0.000976883	
5.000000	1.44675   	5.000000	1.41239   	5.000000	1.42688   	5.000000	1.42688   	5.000000	1.4115    	5.000000	0.000890712	
5.500000	1.36934   	5.500000	1.34227   	5.500000	1.35525   	5.500000	1.35525   	5.500000	1.34146   	5.500000	0.000819211	
6.000000	1.3       	6.000000	1.27932   	6.000000	1.29093   	6.000000	1.29093   	6.000000	1.27856   	6.000000	0.00075887	
6.500000	1.23759   	6.500000	1.22246   	6.500000	1.23286   	6.500000	1.23286   	6.500000	1.22175   	6.500000	0.000707226	
7.000000	1.18114   	7.000000	1.17083   	7.000000	1.18014   	7.000000	1.18014   	7.000000	1.17017   	7.000000	0.000662497	
7.500000	1.12987   	7.500000	1.12374   	7.500000	1.13206   	7.500000	1.13206   	7.500000	1.12311   	7.500000	0.000623359	
8.000000	1.0831    	8.000000	1.08058   	8.000000	1.08802   	8.000000	1.08802   	8.000000	1.07999   	8.000000	0.000588809	
8.500000	1.04027   	8.500000	1.04088   	8.500000	1.04752   	8.500000	1.04752   	8.500000	1.04032   	8.500000	0.000558071	
9.000000	1.00091   	9.000000	1.00422   	9.000000	1.01014   	9.000000	1.01014   	9.000000	1.00369   	9.000000	0.000530539	
9.500000	0.964605  	9.500000	0.970265  	9.500000	0.975536  	9.500000	0.975536  	9.500000	0.969759  	9.500000	0.000505727	
10.000000	0.931023  	10.000000	0.942946  	10.000000	0.943395  	10.000000	0.943395  	10.000000	0.942463  	10.000000	0.000483244	
11.000000	0.870878  	11.000000	0.885337  	11.000000	0.883715  	11.000000	0.885891  	11.000000	0.884892  	11.000000	0.000444049	
12.000000	0.818563  	12.000000	0.834441  	12.000000	0.831385  	12.000000	0.835077  	12.000000	0.83403   	12.000000	0.000411008	
13.000000	0.772637  	13.000000	0.789206  	13.000000	0.785099  	13.000000	0.789847  	13.000000	0.788823  	13.000000	0.000382758	
14.000000	0.731989  	14.000000	0.748772  	14.000000	0.74384   	14.000000	0.749321  	14.000000	0.748414  	14.000000	0.000358311	
15.000000	0.695752  	15.000000	0.712435  	15.000000	0.706808  	15.000000	0.712798  	15.000000	0.712098  	15.000000	0.000336938	
