Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1260.000000	0.0481826 	1260.000000	0.0495302 	1260.000000	0.0493243 	1260.000000	0.0487077 	1260.000000	0.0495243 	1260.000000	5.93332e-06	
1280.000000	0.0480873 	1280.000000	0.0494307 	1280.000000	0.0492207 	1280.000000	0.0486058 	1280.000000	0.0494249 	1280.000000	5.84733e-06	
1300.000000	0.0479981 	1300.000000	0.0493369 	1300.000000	0.0491221 	1300.000000	0.0485087 	1300.000000	0.0493311 	1300.000000	5.76389e-06	
1320.000000	0.0479149 	1320.000000	0.0492484 	1320.000000	0.0490284 	1320.000000	0.0484161 	1320.000000	0.0492427 	1320.000000	5.68288e-06	
1340.000000	0.0478374 	1340.000000	0.049165  	1340.000000	0.0489395 	1340.000000	0.0483278 	1340.000000	0.0491594 	1340.000000	5.6042e-06	
1360.000000	0.0477654 	1360.000000	0.0490865 	1360.000000	0.048855  	1360.000000	0.0482436 	1360.000000	0.049081  	1360.000000	5.52774e-06	
1380.000000	0.0476985 	1380.000000	0.0490127 	1380.000000	0.0487744 	1380.000000	0.0481634 	1380.000000	0.0490073 	1380.000000	5.45341e-06	
1400.000000	0.0476367 	1400.000000	0.0489434 	1400.000000	0.0486977 	1400.000000	0.048087  	1400.000000	0.048938  	1400.000000	5.38112e-06	
1420.000000	0.0475797 	1420.000000	0.0488784 	1420.000000	0.0486244 	1420.000000	0.048014  	1420.000000	0.048873  	1420.000000	5.31079e-06	
1440.000000	0.0475274 	1440.000000	0.0488174 	1440.000000	0.0485543 	1440.000000	0.0479445 	1440.000000	0.0488122 	1440.000000	5.24234e-06	
1460.000000	0.0474795 	1460.000000	0.0487605 	1460.000000	0.0484872 	1460.000000	0.0478783 	1460.000000	0.0487553 	1460.000000	5.17569e-06	
1480.000000	0.0474359 	1480.000000	0.0487073 	1480.000000	0.048423  	1480.000000	0.0478152 	1480.000000	0.0487022 	1480.000000	5.11077e-06	
1500.000000	0.0473965 	1500.000000	0.0486578 	1500.000000	0.0483617 	1500.000000	0.047755  	1500.000000	0.0486528 	1500.000000	5.04752e-06	
1520.000000	0.0473611 	1520.000000	0.0486118 	1520.000000	0.0483032 	1520.000000	0.0476976 	1520.000000	0.0486068 	1520.000000	4.98587e-06	
1540.000000	0.0473295 	1540.000000	0.0485692 	1540.000000	0.0482474 	1540.000000	0.047643  	1540.000000	0.0485643 	1540.000000	4.92576e-06	
1560.000000	0.0473016 	1560.000000	0.0485298 	1560.000000	0.0481943 	1560.000000	0.047591  	1560.000000	0.0485249 	1560.000000	4.86713e-06	
1580.000000	0.0472774 	1580.000000	0.0484935 	1580.000000	0.0481438 	1580.000000	0.0475415 	1580.000000	0.0484887 	1580.000000	4.80993e-06	
1600.000000	0.0472566 	1600.000000	0.0484603 	1600.000000	0.0480958 	1600.000000	0.0474943 	1600.000000	0.0484555 	1600.000000	4.7541e-06	
1620.000000	0.0472391 	1620.000000	0.0484299 	1620.000000	0.0480504 	1620.000000	0.0474494 	1620.000000	0.0484252 	1620.000000	4.6996e-06	
1640.000000	0.0472249 	1640.000000	0.0484023 	1640.000000	0.0480072 	1640.000000	0.0474067 	1640.000000	0.0483977 	1640.000000	4.64637e-06	
1660.000000	0.0472138 	1660.000000	0.0483774 	1660.000000	0.0479663 	1660.000000	0.0473661 	1660.000000	0.0483728 	1660.000000	4.59439e-06	
1680.000000	0.0472058 	1680.000000	0.0483551 	1680.000000	0.0479275 	1680.000000	0.0473275 	1680.000000	0.0483506 	1680.000000	4.54359e-06	
1700.000000	0.0472006 	1700.000000	0.0483353 	1700.000000	0.0478906 	1700.000000	0.0472909 	1700.000000	0.0483309 	1700.000000	4.49394e-06	
1750.000000	0.0472001 	1750.000000	0.0482963 	1750.000000	0.0478063 	1750.000000	0.0472071 	1750.000000	0.0482919 	1750.000000	4.37459e-06	
1800.000000	0.047216  	1800.000000	0.0482711 	1800.000000	0.0477323 	1800.000000	0.0471339 	1800.000000	0.0482668 	1800.000000	4.26163e-06	
1850.000000	0.0472472 	1850.000000	0.0482587 	1850.000000	0.0476673 	1850.000000	0.0470701 	1850.000000	0.0482545 	1850.000000	4.15455e-06	
1900.000000	0.0472925 	1900.000000	0.048258  	1900.000000	0.0476106 	1900.000000	0.0470149 	1900.000000	0.0482539 	1900.000000	4.05289e-06	
1950.000000	0.047351  	1950.000000	0.0482682 	1950.000000	0.0475616 	1950.000000	0.0469675 	1950.000000	0.0482642 	1950.000000	3.95625e-06	
2000.000000	0.0474218 	2000.000000	0.0482884 	2000.000000	0.0475196 	2000.000000	0.0469272 	2000.000000	0.0482845 	2000.000000	3.86426e-06	
2100.000000	0.0475973 	2100.000000	0.0483562 	2100.000000	0.0474547 	2100.000000	0.0468655 	2100.000000	0.0483525 	2100.000000	3.69295e-06	
2200.000000	0.0478135 	2200.000000	0.0484562 	2200.000000	0.0474119 	2200.000000	0.0468254 	2200.000000	0.0484527 	2200.000000	3.53665e-06	
2300.000000	0.0480656 	2300.000000	0.0485843 	2300.000000	0.0473878 	2300.000000	0.0468034 	2300.000000	0.0485809 	2300.000000	3.39345e-06	
2400.000000	0.04835   	2400.000000	0.0487369 	2400.000000	0.0473798 	2400.000000	0.0467967 	2400.000000	0.0487336 	2400.000000	3.26174e-06	
2500.000000	0.0486632 	2500.000000	0.0489111 	2500.000000	0.0473851 	2500.000000	0.0468028 	2500.000000	0.0489079 	2500.000000	3.1402e-06	
2600.000000	0.0490024 	2600.000000	0.0491043 	2600.000000	0.0474016 	2600.000000	0.0468198 	2600.000000	0.0491013 	2600.000000	3.02767e-06	
2700.000000	0.0493654 	2700.000000	0.0493145 	2700.000000	0.0474274 	2700.000000	0.0468459 	2700.000000	0.0493116 	2700.000000	2.92317e-06	
2800.000000	0.04975   	2800.000000	0.0495398 	2800.000000	0.0474609 	2800.000000	0.0468799 	2800.000000	0.049537  	2800.000000	2.82587e-06	
2900.000000	0.0501544 	2900.000000	0.0497786 	2900.000000	0.0475009 	2900.000000	0.0469206 	2900.000000	0.0497758 	2900.000000	2.73504e-06	
3000.000000	0.0505771 	3000.000000	0.0500295 	3000.000000	0.0475463 	3000.000000	0.0469669 	3000.000000	0.0500268 	3000.000000	2.65005e-06	
3200.000000	0.051472  	3200.000000	0.050563  	3200.000000	0.0476506 	3200.000000	0.0470731 	3200.000000	0.0505605 	3200.000000	2.49545e-06	
3400.000000	0.0524255 	3400.000000	0.0511325 	3400.000000	0.0477688 	3400.000000	0.0471933 	3400.000000	0.0511302 	3400.000000	2.3584e-06	
3600.000000	0.0534307 	3600.000000	0.0517317 	3600.000000	0.0478973 	3600.000000	0.0473234 	3600.000000	0.0517295 	3600.000000	2.23606e-06	
3800.000000	0.0544816 	3800.000000	0.0523558 	3800.000000	0.048033  	3800.000000	0.0474603 	3800.000000	0.0523537 	3800.000000	2.12615e-06	
4000.000000	0.0555738 	4000.000000	0.0530009 	4000.000000	0.0481737 	4000.000000	0.047602  	4000.000000	0.0529989 	4000.000000	2.02685e-06	
4200.000000	0.0567036 	4200.000000	0.0536638 	4200.000000	0.0483176 	4200.000000	0.0477466 	4200.000000	0.0536618 	4200.000000	1.93668e-06	
4400.000000	0.0578677 	4400.000000	0.0543418 	4400.000000	0.0484631 	4400.000000	0.0478928 	4400.000000	0.05434   	4400.000000	1.85443e-06	
4600.000000	0.0590637 	4600.000000	0.055033  	4600.000000	0.0486094 	4600.000000	0.0480398 	4600.000000	0.0550312 	4600.000000	1.77909e-06	
4800.000000	0.0602894 	4800.000000	0.0557355 	4800.000000	0.0487556 	4800.000000	0.0481867 	4800.000000	0.0557338 	4800.000000	1.70981e-06	
5000.000000	0.0615429 	5000.000000	0.0564478 	5000.000000	0.0489011 	5000.000000	0.0483329 	5000.000000	0.0564461 	5000.000000	1.64588e-06	
5250.000000	0.0631467 	5250.000000	0.0573501 	5250.000000	0.0490814 	5250.000000	0.048514  	5250.000000	0.0573485 	5250.000000	1.57258e-06	
5500.000000	0.0647891 	5500.000000	0.0582638 	5500.000000	0.0492593 	5500.000000	0.0486928 	5500.000000	0.0582623 	5500.000000	1.50572e-06	
6000.000000	0.0681815 	6000.000000	0.0601188 	6000.000000	0.0496065 	6000.000000	0.0490417 	6000.000000	0.0601174 	6000.000000	1.38817e-06	
6500.000000	0.071707  	6500.000000	0.0620024 	6500.000000	0.0499408 	6500.000000	0.0493775 	6500.000000	0.0620011 	6500.000000	1.28812e-06	
7000.000000	0.0753561 	7000.000000	0.0639074 	7000.000000	0.0502608 	7000.000000	0.0496994 	7000.000000	0.0639062 	7000.000000	1.2019e-06	
7500.000000	0.0791219 	7500.000000	0.0658285 	7500.000000	0.0505679 	7500.000000	0.0500074 	7500.000000	0.0658273 	7500.000000	1.1268e-06	
8000.000000	0.082999  	8000.000000	0.0677616 	8000.000000	0.0508616 	8000.000000	0.0503019 	8000.000000	0.0677606 	8000.000000	1.06079e-06	
8500.000000	0.0869835 	8500.000000	0.069704  	8500.000000	0.0511427 	8500.000000	0.0505835 	8500.000000	0.069703  	8500.000000	1.00229e-06	
9000.000000	0.0910722 	9000.000000	0.0716533 	9000.000000	0.0514118 	9000.000000	0.0508529 	9000.000000	0.0716524 	9000.000000	9.50074e-07	
9500.000000	0.0952627 	9500.000000	0.0736079 	9500.000000	0.0516688 	9500.000000	0.0511107 	9500.000000	0.073607  	9500.000000	9.03181e-07	
10000.000000	0.0995532 	10000.000000	0.0755663 	10000.000000	0.0519142 	10000.000000	0.0513577 	10000.000000	0.0755654 	10000.000000	8.60826e-07	
11000.000000	0.108428  	11000.000000	0.0794906 	11000.000000	0.0523748 	11000.000000	0.0518218 	11000.000000	0.0794898 	11000.000000	7.87305e-07	
12000.000000	0.117688  	12000.000000	0.0834201 	12000.000000	0.0528006 	12000.000000	0.0522503 	12000.000000	0.0834194 	12000.000000	7.2566e-07	
13000.000000	0.127328  	13000.000000	0.0873508 	13000.000000	0.0531955 	13000.000000	0.0526475 	13000.000000	0.0873501 	13000.000000	6.73205e-07	
14000.000000	0.137344  	14000.000000	0.09128   	14000.000000	0.0535631 	14000.000000	0.0530172 	14000.000000	0.0912793 	14000.000000	6.28012e-07	
15000.000000	0.147734  	15000.000000	0.0952058 	15000.000000	0.0539062 	15000.000000	0.0533626 	15000.000000	0.0952052 	15000.000000	5.88659e-07	
16000.000000	0.158497  	16000.000000	0.0991272 	16000.000000	0.0542271 	16000.000000	0.0536863 	16000.000000	0.0991267 	16000.000000	5.54073e-07	
17000.000000	0.169634  	17000.000000	0.103043  	17000.000000	0.0545282 	17000.000000	0.0539908 	17000.000000	0.103043  	17000.000000	5.23429e-07	
18000.000000	0.181143  	18000.000000	0.106954  	18000.000000	0.0548117 	18000.000000	0.0542779 	18000.000000	0.106953  	18000.000000	4.96086e-07	
19000.000000	0.193027  	19000.000000	0.110858  	19000.000000	0.0550793 	19000.000000	0.0545495 	19000.000000	0.110857  	19000.000000	4.71531e-07	
20000.000000	0.205286  	20000.000000	0.114756  	20000.000000	0.0553328 	20000.000000	0.054807  	20000.000000	0.114755  	20000.000000	4.49357e-07	
21000.000000	0.217922  	21000.000000	0.118647  	21000.000000	0.0555736 	21000.000000	0.0550517 	21000.000000	0.118647  	21000.000000	4.29229e-07	
22000.000000	0.230936  	22000.000000	0.122532  	22000.000000	0.0558028 	22000.000000	0.0552847 	22000.000000	0.122532  	22000.000000	4.10874e-07	
23000.000000	0.24433   	23000.000000	0.126411  	23000.000000	0.0560202 	23000.000000	0.0555071 	23000.000000	0.126411  	23000.000000	3.94066e-07	
24000.000000	0.258105  	24000.000000	0.130283  	24000.000000	0.0562272 	24000.000000	0.0557197 	24000.000000	0.130283  	24000.000000	3.78616e-07	
25000.000000	0.272265  	25000.000000	0.134149  	25000.000000	0.0564256 	25000.000000	0.0559232 	25000.000000	0.134149  	25000.000000	3.64364e-07	
26000.000000	0.28681   	26000.000000	0.138009  	26000.000000	0.0566164 	26000.000000	0.0561185 	26000.000000	0.138009  	26000.000000	3.51175e-07	
27000.000000	0.301743  	27000.000000	0.141863  	27000.000000	0.0568    	27000.000000	0.056306  	27000.000000	0.141862  	27000.000000	3.38932e-07	
28000.000000	0.317067  	28000.000000	0.14571   	28000.000000	0.0569763 	28000.000000	0.0564864 	28000.000000	0.14571   	28000.000000	3.27538e-07	
29000.000000	0.332784  	29000.000000	0.149552  	29000.000000	0.0571453 	29000.000000	0.0566601 	29000.000000	0.149552  	29000.000000	3.16905e-07	
30000.000000	0.348896  	30000.000000	0.153388  	30000.000000	0.0573076 	30000.000000	0.0568276 	30000.000000	0.153388  	30000.000000	3.06959e-07	
32000.000000	0.382314  	32000.000000	0.161044  	32000.000000	0.057614  	32000.000000	0.0571456 	32000.000000	0.161043  	32000.000000	2.88876e-07	
34000.000000	0.417343  	34000.000000	0.168678  	34000.000000	0.0578992 	34000.000000	0.0574432 	34000.000000	0.168677  	34000.000000	2.72858e-07	
36000.000000	0.454002  	36000.000000	0.176291  	36000.000000	0.0581656 	36000.000000	0.0577228 	36000.000000	0.176291  	36000.000000	2.58567e-07	
38000.000000	0.492313  	38000.000000	0.183885  	38000.000000	0.0584154 	38000.000000	0.0579862 	38000.000000	0.183885  	38000.000000	2.45736e-07	
40000.000000	0.532298  	40000.000000	0.19146   	40000.000000	0.0586503 	40000.000000	0.0582353 	40000.000000	0.19146   	40000.000000	2.3415e-07	
42000.000000	0.573977  	42000.000000	0.199017  	42000.000000	0.0588721 	42000.000000	0.0584714 	42000.000000	0.199017  	42000.000000	2.23635e-07	
44000.000000	0.617373  	44000.000000	0.206557  	44000.000000	0.0590822 	44000.000000	0.0586958 	44000.000000	0.206557  	44000.000000	2.14048e-07	
46000.000000	0.662508  	46000.000000	0.21408   	46000.000000	0.0592819 	46000.000000	0.0589096 	46000.000000	0.21408   	46000.000000	2.0527e-07	
48000.000000	0.709405  	48000.000000	0.221587  	48000.000000	0.0594718 	48000.000000	0.0591136 	48000.000000	0.221587  	48000.000000	1.97201e-07	
50000.000000	0.758086  	50000.000000	0.22908   	50000.000000	0.0596518 	50000.000000	0.0593087 	50000.000000	0.229079  	50000.000000	1.8976e-07	
