! 12C range in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
180.000000	38722.5   	180.000000	38348.1   	180.000000	38877.3   	180.000000	38989     	180.000000	38876.8   	180.000000	270.863   	180.000000	127.085   	180.000000	406.854   	180.000000	352.734   	180.000000	414.2     	
185.000000	40594     	185.000000	40189     	185.000000	40742.6   	185.000000	40862.7   	185.000000	40742     	185.000000	283.24    	185.000000	132.788   	185.000000	425.828   	185.000000	368.904   	185.000000	434.069   	
190.000000	42497.3   	190.000000	42062.1   	190.000000	42640.7   	190.000000	42769.4   	190.000000	42640.1   	190.000000	295.784   	190.000000	138.571   	190.000000	445.096   	190.000000	385.326   	190.000000	454.285   	
195.000000	44432.1   	195.000000	43966.7   	195.000000	44571     	195.000000	44708.6   	195.000000	44570.4   	195.000000	308.491   	195.000000	144.43    	195.000000	464.653   	195.000000	401.996   	195.000000	474.844   	
200.000000	46397.7   	200.000000	45902.5   	200.000000	46533     	200.000000	46679.8   	200.000000	46532.3   	200.000000	321.355   	200.000000	150.369   	200.000000	484.49    	200.000000	418.909   	200.000000	495.738   	
210.000000	50419.5   	210.000000	49865.2   	210.000000	50549.9   	210.000000	50715.9   	210.000000	50549.3   	210.000000	347.537   	210.000000	162.473   	210.000000	524.983   	210.000000	453.442   	210.000000	538.51    	
220.000000	54558.9   	220.000000	53946.2   	220.000000	54687.5   	220.000000	54873.6   	220.000000	54686.9   	220.000000	374.292   	220.000000	174.865   	220.000000	566.524   	220.000000	488.891   	220.000000	582.556   	
230.000000	58812.3   	230.000000	58141.7   	230.000000	58941.8   	230.000000	59149     	230.000000	58941.3   	230.000000	401.585   	230.000000	187.542   	230.000000	609.067   	230.000000	525.221   	230.000000	627.834   	
240.000000	63176.2   	240.000000	62447.9   	240.000000	63309.3   	240.000000	63538.5   	240.000000	63308.8   	240.000000	429.382   	240.000000	200.48    	240.000000	652.565   	240.000000	562.398   	240.000000	674.301   	
250.000000	67647.4   	250.000000	66861.5   	250.000000	67786.2   	250.000000	68038.5   	250.000000	67785.9   	250.000000	457.652   	250.000000	213.672   	250.000000	696.976   	250.000000	600.39    	250.000000	721.918   	
260.000000	72222.7   	260.000000	71379.1   	260.000000	72369.2   	260.000000	72645.6   	260.000000	72369.2   	260.000000	486.364   	260.000000	227.107   	260.000000	742.259   	260.000000	639.168   	260.000000	770.646   	
270.000000	76899.2   	270.000000	75997.5   	270.000000	77055.6   	270.000000	77356.5   	270.000000	77055.5   	270.000000	515.49    	270.000000	240.777   	270.000000	788.374   	270.000000	678.702   	270.000000	820.448   	
280.000000	81673.9   	280.000000	80713.6   	280.000000	81841.9   	280.000000	82168     	280.000000	81841.5   	280.000000	545.005   	280.000000	254.674   	280.000000	835.284   	280.000000	718.965   	280.000000	871.288   	
290.000000	86544.1   	290.000000	85524.6   	290.000000	86725     	290.000000	87077.2   	290.000000	86724.4   	290.000000	574.881   	290.000000	268.789   	290.000000	882.953   	290.000000	759.93    	290.000000	923.132   	
300.000000	91507.2   	300.000000	90427.6   	300.000000	91701.9   	300.000000	92081.2   	300.000000	91701.3   	300.000000	605.096   	300.000000	283.116   	300.000000	931.346   	300.000000	801.572   	300.000000	975.947   	
310.000000	96560.6   	310.000000	95420     	310.000000	96769.9   	310.000000	97177.1   	310.000000	96769.3   	310.000000	635.626   	310.000000	297.647   	310.000000	980.431   	310.000000	843.866   	310.000000	1029.7    	
320.000000	101702    	320.000000	100499    	320.000000	101926    	320.000000	102362    	320.000000	101926    	320.000000	666.451   	320.000000	312.365   	320.000000	1030.18   	320.000000	886.789   	320.000000	1084.37   	
330.000000	106929    	330.000000	105663    	330.000000	107169    	330.000000	107634    	330.000000	107168    	330.000000	697.549   	330.000000	327.264   	330.000000	1080.55   	330.000000	930.318   	330.000000	1139.91   	
340.000000	112239    	340.000000	110908    	340.000000	112495    	340.000000	112990    	340.000000	112494    	340.000000	728.901   	340.000000	342.348   	340.000000	1131.53   	340.000000	974.431   	340.000000	1196.3    	
350.000000	117630    	350.000000	116233    	350.000000	117901    	350.000000	118428    	350.000000	117901    	350.000000	760.489   	350.000000	357.604   	350.000000	1183.09   	350.000000	1019.11   	350.000000	1253.52   	
360.000000	123100    	360.000000	121635    	360.000000	123387    	360.000000	123945    	360.000000	123387    	360.000000	792.296   	360.000000	373.02    	360.000000	1235.19   	360.000000	1064.33   	360.000000	1311.53   	
370.000000	128648    	370.000000	127113    	370.000000	128949    	370.000000	129540    	370.000000	128949    	370.000000	824.305   	370.000000	388.592   	370.000000	1287.81   	370.000000	1110.07   	370.000000	1370.31   	
380.000000	134270    	380.000000	132664    	380.000000	134586    	380.000000	135210    	380.000000	134586    	380.000000	856.5     	380.000000	404.315   	380.000000	1340.94   	380.000000	1156.32   	380.000000	1429.84   	
390.000000	139966    	390.000000	138286    	390.000000	140295    	390.000000	140952    	390.000000	140295    	390.000000	888.867   	390.000000	420.182   	390.000000	1394.54   	390.000000	1203.06   	390.000000	1490.09   	
400.000000	145732    	400.000000	143977    	400.000000	146075    	400.000000	146766    	400.000000	146075    	400.000000	921.392   	400.000000	436.198   	400.000000	1448.59   	400.000000	1250.27   	400.000000	1551.04   	
410.000000	151569    	410.000000	149735    	410.000000	151923    	410.000000	152649    	410.000000	151923    	410.000000	954.06    	410.000000	452.365   	410.000000	1503.07   	410.000000	1297.93   	410.000000	1612.66   	
420.000000	157473    	420.000000	155560    	420.000000	157838    	420.000000	158599    	420.000000	157837    	420.000000	986.86    	420.000000	468.666   	420.000000	1557.97   	420.000000	1346.03   	420.000000	1674.94   	
430.000000	163443    	430.000000	161448    	430.000000	163817    	430.000000	164614    	430.000000	163817    	430.000000	1019.78   	430.000000	485.084   	430.000000	1613.26   	430.000000	1394.55   	430.000000	1737.85   	
440.000000	169478    	440.000000	167399    	440.000000	169859    	440.000000	170693    	440.000000	169859    	440.000000	1052.81   	440.000000	501.62    	440.000000	1668.92   	440.000000	1443.48   	440.000000	1801.37   	
450.000000	175576    	450.000000	173410    	450.000000	175962    	450.000000	176834    	450.000000	175963    	450.000000	1085.93   	450.000000	518.277   	450.000000	1724.94   	450.000000	1492.8    	450.000000	1865.49   	
460.000000	181736    	460.000000	179480    	460.000000	182126    	460.000000	183035    	460.000000	182126    	460.000000	1119.14   	460.000000	535.055   	460.000000	1781.3    	460.000000	1542.5    	460.000000	1930.18   	
470.000000	187955    	470.000000	185608    	470.000000	188347    	470.000000	189295    	470.000000	188348    	470.000000	1152.43   	470.000000	551.948   	470.000000	1837.97   	470.000000	1592.57   	470.000000	1995.42   	
480.000000	194233    	480.000000	191792    	480.000000	194626    	480.000000	195611    	480.000000	194626    	480.000000	1185.78   	480.000000	568.954   	480.000000	1894.96   	480.000000	1642.99   	480.000000	2061.2    	
490.000000	200569    	490.000000	198031    	490.000000	200960    	490.000000	201984    	490.000000	200960    	490.000000	1219.2    	490.000000	586.069   	490.000000	1952.23   	490.000000	1693.74   	490.000000	2127.51   	
500.000000	206960    	500.000000	204323    	500.000000	207347    	500.000000	208411    	500.000000	207347    	500.000000	1252.66   	500.000000	603.292   	500.000000	2009.78   	500.000000	1744.83   	500.000000	2194.31   	
520.000000	219905    	520.000000	217061    	520.000000	220277    	520.000000	221422    	520.000000	220277    	520.000000	1319.71   	520.000000	638.024   	520.000000	2125.64   	520.000000	1847.93   	520.000000	2329.37   	
540.000000	233059    	540.000000	229998    	540.000000	233406    	540.000000	234633    	540.000000	233406    	540.000000	1386.87   	540.000000	673.116   	540.000000	2242.45   	540.000000	1952.21   	540.000000	2466.25   	
560.000000	246411    	560.000000	243122    	560.000000	246723    	560.000000	248035    	560.000000	246724    	560.000000	1454.09   	560.000000	708.579   	560.000000	2360.09   	560.000000	2057.57   	560.000000	2604.84   	
580.000000	259953    	580.000000	256426    	580.000000	260220    	580.000000	261618    	580.000000	260221    	580.000000	1521.31   	580.000000	744.38    	580.000000	2478.48   	580.000000	2163.95   	580.000000	2745.03   	
600.000000	273676    	600.000000	269900    	600.000000	273888    	600.000000	275374    	600.000000	273889    	600.000000	1588.51   	600.000000	780.479   	600.000000	2597.54   	600.000000	2271.26   	600.000000	2886.71   	
620.000000	287573    	620.000000	283537    	620.000000	287718    	620.000000	289293    	620.000000	287719    	620.000000	1655.63   	620.000000	816.864   	620.000000	2717.18   	620.000000	2379.45   	620.000000	3029.79   	
640.000000	301635    	640.000000	297329    	640.000000	301704    	640.000000	303368    	640.000000	301704    	640.000000	1722.64   	640.000000	853.545   	640.000000	2837.33   	640.000000	2488.43   	640.000000	3174.17   	
660.000000	315855    	660.000000	311268    	660.000000	315836    	660.000000	317592    	660.000000	315837    	660.000000	1789.51   	660.000000	890.521   	660.000000	2957.93   	660.000000	2598.16   	660.000000	3319.77   	
680.000000	330226    	680.000000	325349    	680.000000	330109    	680.000000	331958    	680.000000	330109    	680.000000	1856.22   	680.000000	927.763   	680.000000	3078.91   	680.000000	2708.57   	680.000000	3466.51   	
700.000000	344742    	700.000000	339563    	700.000000	344515    	700.000000	346458    	700.000000	344515    	700.000000	1922.74   	700.000000	965.242   	700.000000	3200.21   	700.000000	2819.61   	700.000000	3614.31   	
720.000000	359395    	720.000000	353906    	720.000000	359048    	720.000000	361087    	720.000000	359049    	720.000000	1989.04   	720.000000	1002.95   	720.000000	3321.79   	720.000000	2931.24   	720.000000	3763.1    	
740.000000	374181    	740.000000	368371    	740.000000	373702    	740.000000	375839    	740.000000	373704    	740.000000	2055.1    	740.000000	1040.88   	740.000000	3443.59   	740.000000	3043.4    	740.000000	3912.8    	
760.000000	389092    	760.000000	382953    	760.000000	388473    	760.000000	390708    	760.000000	388476    	760.000000	2120.91   	760.000000	1079.02   	760.000000	3565.57   	760.000000	3156.04   	760.000000	4063.36   	
780.000000	404124    	780.000000	397646    	780.000000	403355    	780.000000	405689    	780.000000	403358    	780.000000	2186.45   	780.000000	1117.37   	780.000000	3687.68   	780.000000	3269.13   	780.000000	4214.71   	
800.000000	419271    	800.000000	412445    	800.000000	418344    	800.000000	420776    	800.000000	418345    	800.000000	2251.71   	800.000000	1155.9    	800.000000	3809.88   	800.000000	3382.63   	800.000000	4366.8    	
820.000000	434529    	820.000000	427346    	820.000000	433433    	820.000000	435965    	820.000000	433434    	820.000000	2316.67   	820.000000	1194.6    	820.000000	3932.14   	820.000000	3496.5    	820.000000	4519.56   	
840.000000	449891    	840.000000	442345    	840.000000	448616    	840.000000	451249    	840.000000	448617    	840.000000	2381.3    	840.000000	1233.45   	840.000000	4054.41   	840.000000	3610.69   	840.000000	4672.94   	
860.000000	465354    	860.000000	457435    	860.000000	463889    	860.000000	466624    	860.000000	463889    	860.000000	2445.57   	860.000000	1272.46   	860.000000	4176.63   	860.000000	3725.15   	860.000000	4826.85   	
880.000000	480913    	880.000000	472615    	880.000000	479246    	880.000000	482085    	880.000000	479247    	880.000000	2509.49   	880.000000	1311.63   	880.000000	4298.8    	880.000000	3839.86   	880.000000	4981.27   	
900.000000	496563    	900.000000	487878    	900.000000	494686    	900.000000	497628    	900.000000	494687    	900.000000	2573.05   	900.000000	1350.94   	900.000000	4420.87   	900.000000	3954.79   	900.000000	5136.15   	
920.000000	512301    	920.000000	503223    	920.000000	510203    	920.000000	513250    	920.000000	510204    	920.000000	2636.23   	920.000000	1390.39   	920.000000	4542.83   	920.000000	4069.91   	920.000000	5291.44   	
940.000000	528123    	940.000000	518644    	940.000000	525794    	940.000000	528947    	940.000000	525796    	940.000000	2699.05   	940.000000	1429.95   	940.000000	4664.65   	940.000000	4185.19   	940.000000	5447.11   	
960.000000	544024    	960.000000	534139    	960.000000	541457    	960.000000	544716    	960.000000	541460    	960.000000	2761.49   	960.000000	1469.63   	960.000000	4786.31   	960.000000	4300.61   	960.000000	5603.12   	
980.000000	560001    	980.000000	549704    	980.000000	557188    	980.000000	560553    	980.000000	557191    	980.000000	2823.55   	980.000000	1509.44   	980.000000	4907.79   	980.000000	4416.14   	980.000000	5759.44   	
1000.000000	576050    	1000.000000	565336    	1000.000000	572984    	1000.000000	576456    	1000.000000	572988    	1000.000000	2885.24   	1000.000000	1549.38   	1000.000000	5029.08   	1000.000000	4531.77   	1000.000000	5916.03   	
1020.000000	592168    	1020.000000	581032    	1020.000000	588843    	1020.000000	592423    	1020.000000	588847    	1020.000000	2946.54   	1020.000000	1589.45   	1020.000000	5150.15   	1020.000000	4647.48   	1020.000000	6072.86   	
1040.000000	608352    	1040.000000	596789    	1040.000000	604763    	1040.000000	608449    	1040.000000	604765    	1040.000000	3007.47   	1040.000000	1629.64   	1040.000000	5270.99   	1040.000000	4763.23   	1040.000000	6229.9    	
1060.000000	624598    	1060.000000	612605    	1060.000000	620739    	1060.000000	624533    	1060.000000	620741    	1060.000000	3068.01   	1060.000000	1669.93   	1060.000000	5391.58   	1060.000000	4879.03   	1060.000000	6387.13   	
1080.000000	640904    	1080.000000	628475    	1080.000000	636770    	1080.000000	640672    	1080.000000	636771    	1080.000000	3128.17   	1080.000000	1710.33   	1080.000000	5511.92   	1080.000000	4994.84   	1080.000000	6544.51   	
1100.000000	657266    	1100.000000	644399    	1100.000000	652852    	1100.000000	656863    	1100.000000	652854    	1100.000000	3187.94   	1100.000000	1750.83   	1100.000000	5631.99   	1100.000000	5110.65   	1100.000000	6702.03   	
1120.000000	673682    	1120.000000	660373    	1120.000000	668985    	1120.000000	673105    	1120.000000	668986    	1120.000000	3247.34   	1120.000000	1791.43   	1120.000000	5751.78   	1120.000000	5226.45   	1120.000000	6859.65   	
1140.000000	690149    	1140.000000	676395    	1140.000000	685165    	1140.000000	689395    	1140.000000	685166    	1140.000000	3306.36   	1140.000000	1832.13   	1140.000000	5871.28   	1140.000000	5342.22   	1140.000000	7017.36   	
1160.000000	706664    	1160.000000	692463    	1160.000000	701392    	1160.000000	705732    	1160.000000	701392    	1160.000000	3365      	1160.000000	1872.95   	1160.000000	5990.48   	1160.000000	5457.94   	1160.000000	7175.13   	
1180.000000	723225    	1180.000000	708574    	1180.000000	717661    	1180.000000	722112    	1180.000000	717662    	1180.000000	3423.26   	1180.000000	1913.87   	1180.000000	6109.37   	1180.000000	5573.61   	1180.000000	7332.94   	
1200.000000	739829    	1200.000000	724726    	1200.000000	733973    	1200.000000	738535    	1200.000000	733974    	1200.000000	3481.14   	1200.000000	1954.9    	1200.000000	6227.94   	1200.000000	5689.22   	1200.000000	7490.78   	
1220.000000	756474    	1220.000000	740918    	1220.000000	750325    	1220.000000	754999    	1220.000000	750326    	1220.000000	3538.66   	1220.000000	1996.03   	1220.000000	6346.18   	1220.000000	5804.74   	1220.000000	7648.62   	
1240.000000	773157    	1240.000000	757148    	1240.000000	766715    	1240.000000	771501    	1240.000000	766717    	1240.000000	3595.8    	1240.000000	2037.25   	1240.000000	6464.09   	1240.000000	5920.17   	1240.000000	7806.45   	
1260.000000	789877    	1260.000000	773412    	1260.000000	783141    	1260.000000	788040    	1260.000000	783144    	1260.000000	3652.57   	1260.000000	2078.56   	1260.000000	6581.67   	1260.000000	6035.5    	1260.000000	7964.24   	
1280.000000	806631    	1280.000000	789711    	1280.000000	799603    	1280.000000	804614    	1280.000000	799607    	1280.000000	3708.97   	1280.000000	2119.96   	1280.000000	6698.9    	1280.000000	6150.72   	1280.000000	8122      	
1300.000000	823417    	1300.000000	806041    	1300.000000	816099    	1300.000000	821223    	1300.000000	816103    	1300.000000	3765.01   	1300.000000	2161.43   	1300.000000	6815.78   	1300.000000	6265.82   	1300.000000	8279.69   	
1320.000000	840234    	1320.000000	822401    	1320.000000	832626    	1320.000000	837864    	1320.000000	832631    	1320.000000	3820.68   	1320.000000	2202.99   	1320.000000	6932.31   	1320.000000	6380.78   	1320.000000	8437.3    	
1340.000000	857078    	1340.000000	838790    	1340.000000	849185    	1340.000000	854536    	1340.000000	849191    	1340.000000	3876      	1340.000000	2244.62   	1340.000000	7048.48   	1340.000000	6495.61   	1340.000000	8594.83   	
1360.000000	873949    	1360.000000	855206    	1360.000000	865773    	1360.000000	871238    	1360.000000	865779    	1360.000000	3930.96   	1360.000000	2286.34   	1360.000000	7164.29   	1360.000000	6610.3    	1360.000000	8752.25   	
1380.000000	890845    	1380.000000	871648    	1380.000000	882390    	1380.000000	887969    	1380.000000	882397    	1380.000000	3985.57   	1380.000000	2328.13   	1380.000000	7279.73   	1380.000000	6724.83   	1380.000000	8909.57   	
1400.000000	907763    	1400.000000	888114    	1400.000000	899035    	1400.000000	904726    	1400.000000	899041    	1400.000000	4039.83   	1400.000000	2370      	1400.000000	7394.81   	1400.000000	6839.2    	1400.000000	9066.75   	
1420.000000	924702    	1420.000000	904602    	1420.000000	915705    	1420.000000	921510    	1420.000000	915711    	1420.000000	4093.74   	1420.000000	2411.96   	1420.000000	7509.52   	1420.000000	6953.4    	1420.000000	9223.8    	
1440.000000	941661    	1440.000000	921111    	1440.000000	932400    	1440.000000	938318    	1440.000000	932406    	1440.000000	4147.3    	1440.000000	2453.99   	1440.000000	7623.85   	1440.000000	7067.43   	1440.000000	9380.71   	
1460.000000	958638    	1460.000000	937640    	1460.000000	949119    	1460.000000	955151    	1460.000000	949124    	1460.000000	4200.52   	1460.000000	2496.09   	1460.000000	7737.81   	1460.000000	7181.28   	1460.000000	9537.45   	
1480.000000	975631    	1480.000000	954188    	1480.000000	965861    	1480.000000	972006    	1480.000000	965865    	1480.000000	4253.41   	1480.000000	2538.27   	1480.000000	7851.4    	1480.000000	7294.95   	1480.000000	9694.03   	
1500.000000	992639    	1500.000000	970754    	1500.000000	982624    	1500.000000	988883    	1500.000000	982628    	1500.000000	4305.96   	1500.000000	2580.53   	1500.000000	7964.6    	1500.000000	7408.42   	1500.000000	9850.44   	
1520.000000	1.00966e+06	1520.000000	987336    	1520.000000	999408    	1520.000000	1.00578e+06	1520.000000	999411    	1520.000000	4358.18   	1520.000000	2622.86   	1520.000000	8077.43   	1520.000000	7521.7    	1520.000000	10006.7   	
1540.000000	1.02669e+06	1540.000000	1.00393e+06	1540.000000	1.01621e+06	1540.000000	1.0227e+06	1540.000000	1.01621e+06	1540.000000	4410.07   	1540.000000	2665.26   	1540.000000	8189.88   	1540.000000	7634.78   	1540.000000	10162.7   	
1560.000000	1.04374e+06	1560.000000	1.02054e+06	1560.000000	1.03303e+06	1560.000000	1.03963e+06	1560.000000	1.03304e+06	1560.000000	4461.63   	1560.000000	2707.74   	1560.000000	8301.94   	1560.000000	7747.66   	1560.000000	10318.5   	
1580.000000	1.06079e+06	1580.000000	1.03717e+06	1580.000000	1.04987e+06	1580.000000	1.05659e+06	1580.000000	1.04988e+06	1580.000000	4512.87   	1580.000000	2750.28   	1580.000000	8413.63   	1580.000000	7860.33   	1580.000000	10474.1   	
1600.000000	1.07785e+06	1600.000000	1.0538e+06	1600.000000	1.06673e+06	1600.000000	1.07356e+06	1600.000000	1.06673e+06	1600.000000	4563.79   	1600.000000	2792.9    	1600.000000	8524.93   	1600.000000	7972.79   	1600.000000	10629.5   	
1620.000000	1.09492e+06	1620.000000	1.07045e+06	1620.000000	1.0836e+06	1620.000000	1.09055e+06	1620.000000	1.08361e+06	1620.000000	4614.4    	1620.000000	2835.59   	1620.000000	8635.85   	1620.000000	8085.03   	1620.000000	10784.7   	
1640.000000	1.112e+06 	1640.000000	1.08711e+06	1640.000000	1.10049e+06	1640.000000	1.10755e+06	1640.000000	1.10049e+06	1640.000000	4664.69   	1640.000000	2878.35   	1640.000000	8746.39   	1640.000000	8197.05   	1640.000000	10939.7   	
1660.000000	1.12907e+06	1660.000000	1.10377e+06	1660.000000	1.1174e+06	1660.000000	1.12457e+06	1660.000000	1.1174e+06	1660.000000	4714.68   	1660.000000	2921.18   	1660.000000	8856.55   	1660.000000	8308.85   	1660.000000	11094.4   	
1680.000000	1.14616e+06	1680.000000	1.12045e+06	1680.000000	1.13431e+06	1680.000000	1.1416e+06	1680.000000	1.13432e+06	1680.000000	4764.36   	1680.000000	2964.09   	1680.000000	8966.32   	1680.000000	8420.43   	1680.000000	11248.9   	
1700.000000	1.16324e+06	1700.000000	1.13713e+06	1700.000000	1.15124e+06	1700.000000	1.15865e+06	1700.000000	1.15125e+06	1700.000000	4813.73   	1700.000000	3007.06   	1700.000000	9075.72   	1700.000000	8531.78   	1700.000000	11403.2   	
1750.000000	1.20596e+06	1750.000000	1.17886e+06	1750.000000	1.19363e+06	1750.000000	1.20132e+06	1750.000000	1.19363e+06	1750.000000	4935.87   	1750.000000	3114.79   	1750.000000	9347.55   	1750.000000	8809.13   	1750.000000	11787.7   	
1800.000000	1.24866e+06	1800.000000	1.22061e+06	1800.000000	1.23608e+06	1800.000000	1.24406e+06	1800.000000	1.23608e+06	1800.000000	5056.18   	1800.000000	3222.93   	1800.000000	9617.01   	1800.000000	9085.02   	1800.000000	12170.7   	
1850.000000	1.29135e+06	1850.000000	1.26238e+06	1850.000000	1.2786e+06	1850.000000	1.28687e+06	1850.000000	1.2786e+06	1850.000000	5174.72   	1850.000000	3331.45   	1850.000000	9884.12   	1850.000000	9359.4    	1850.000000	12551.9   	
1900.000000	1.334e+06 	1900.000000	1.30416e+06	1900.000000	1.32116e+06	1900.000000	1.32973e+06	1900.000000	1.32117e+06	1900.000000	5291.53   	1900.000000	3440.34   	1900.000000	10148.9   	1900.000000	9632.25   	1900.000000	12931.4   	
1950.000000	1.37661e+06	1950.000000	1.34594e+06	1950.000000	1.36378e+06	1950.000000	1.37263e+06	1950.000000	1.36379e+06	1950.000000	5406.66   	1950.000000	3549.59   	1950.000000	10411.4   	1950.000000	9903.55   	1950.000000	13309.2   	
2000.000000	1.41916e+06	2000.000000	1.3877e+06	2000.000000	1.40643e+06	2000.000000	1.41558e+06	2000.000000	1.40644e+06	2000.000000	5520.16   	2000.000000	3659.19   	2000.000000	10671.6   	2000.000000	10173.3   	2000.000000	13685.2   	
2100.000000	1.50403e+06	2100.000000	1.47115e+06	2100.000000	1.49184e+06	2100.000000	1.50156e+06	2100.000000	1.49185e+06	2100.000000	5742.42   	2100.000000	3879.5    	2100.000000	11185.2   	2100.000000	10708     	2100.000000	14431.5   	
2200.000000	1.58856e+06	2200.000000	1.55445e+06	2200.000000	1.57734e+06	2200.000000	1.58764e+06	2200.000000	1.57735e+06	2200.000000	5958.66   	2200.000000	4101.31   	2200.000000	11690     	2200.000000	11236.4   	2200.000000	15170.4   	
2300.000000	1.67268e+06	2300.000000	1.63756e+06	2300.000000	1.6629e+06	2300.000000	1.67378e+06	2300.000000	1.66291e+06	2300.000000	6169.19   	2300.000000	4324.65   	2300.000000	12186.3   	2300.000000	11758.5   	2300.000000	15901.6   	
2400.000000	1.75633e+06	2400.000000	1.72043e+06	2400.000000	1.74849e+06	2400.000000	1.75994e+06	2400.000000	1.7485e+06	2400.000000	6374.32   	2400.000000	4549.5    	2400.000000	12674.2   	2400.000000	12274.2   	2400.000000	16625.1   	
2500.000000	1.83946e+06	2500.000000	1.80302e+06	2500.000000	1.83408e+06	2500.000000	1.8461e+06	2500.000000	1.83409e+06	2500.000000	6574.33   	2500.000000	4775.83   	2500.000000	13154.1   	2500.000000	12783.6   	2500.000000	17340.9   	
2600.000000	1.92203e+06	2600.000000	1.8853e+06	2600.000000	1.91965e+06	2600.000000	1.93224e+06	2600.000000	1.91966e+06	2600.000000	6769.47   	2600.000000	5003.6    	2600.000000	13626.1   	2600.000000	13286.8   	2600.000000	18049     	
2700.000000	2.00402e+06	2700.000000	1.96724e+06	2700.000000	2.00518e+06	2700.000000	2.01834e+06	2700.000000	2.00519e+06	2700.000000	6960.01   	2700.000000	5232.78   	2700.000000	14090.5   	2700.000000	13783.8   	2700.000000	18749.4   	
2800.000000	2.08539e+06	2800.000000	2.04882e+06	2800.000000	2.09066e+06	2800.000000	2.10438e+06	2800.000000	2.09067e+06	2800.000000	7146.16   	2800.000000	5463.35   	2800.000000	14547.6   	2800.000000	14274.8   	2800.000000	19442.3   	
2900.000000	2.16611e+06	2900.000000	2.13002e+06	2900.000000	2.17607e+06	2900.000000	2.19036e+06	2900.000000	2.17608e+06	2900.000000	7328.14   	2900.000000	5695.3    	2900.000000	14997.6   	2900.000000	14759.8   	2900.000000	20127.6   	
3000.000000	2.24617e+06	3000.000000	2.21082e+06	3000.000000	2.2614e+06	3000.000000	2.27625e+06	3000.000000	2.26141e+06	3000.000000	7506.15   	3000.000000	5928.6    	3000.000000	15440.8   	3000.000000	15239     	3000.000000	20805.5   	
3200.000000	2.40425e+06	3200.000000	2.37117e+06	3200.000000	2.43179e+06	3200.000000	2.44777e+06	3200.000000	2.43181e+06	3200.000000	7851.01   	3200.000000	6399.22   	3200.000000	16307.3   	3200.000000	16180.3   	3200.000000	22139.5   	
3400.000000	2.5595e+06	3400.000000	2.52978e+06	3400.000000	2.60178e+06	3400.000000	2.61887e+06	3400.000000	2.6018e+06	3400.000000	8182.09   	3400.000000	6875.12   	3400.000000	17148.9   	3400.000000	17099.6   	3400.000000	23445.2   	
3600.000000	2.71188e+06	3600.000000	2.68659e+06	3600.000000	2.77132e+06	3600.000000	2.78952e+06	3600.000000	2.77134e+06	3600.000000	8500.6    	3600.000000	7356.24   	3600.000000	17967.2   	3600.000000	17997.9   	3600.000000	24723.6   	
3800.000000	2.86136e+06	3800.000000	2.84155e+06	3800.000000	2.94039e+06	3800.000000	2.95969e+06	3800.000000	2.94042e+06	3800.000000	8807.58   	3800.000000	7842.49   	3800.000000	18763.5   	3800.000000	18875.9   	3800.000000	25975.8   	
4000.000000	3.00793e+06	4000.000000	2.99465e+06	4000.000000	3.10897e+06	4000.000000	3.12936e+06	4000.000000	3.109e+06 	4000.000000	9103.96   	4000.000000	8333.82   	4000.000000	19539.3   	4000.000000	19734.8   	4000.000000	27202.8   	
4200.000000	3.15159e+06	4200.000000	3.14586e+06	4200.000000	3.27705e+06	4200.000000	3.29852e+06	4200.000000	3.27708e+06	4200.000000	9390.57   	4200.000000	8830.17   	4200.000000	20295.7   	4200.000000	20575.2   	4200.000000	28405.6   	
4400.000000	3.29238e+06	4400.000000	3.2952e+06	4400.000000	3.44462e+06	4400.000000	3.46716e+06	4400.000000	3.44465e+06	4400.000000	9668.14   	4400.000000	9331.47   	4400.000000	21033.9   	4400.000000	21398     	4400.000000	29585.2   	
4600.000000	3.43033e+06	4600.000000	3.44267e+06	4600.000000	3.61169e+06	4600.000000	3.63529e+06	4600.000000	3.61172e+06	4600.000000	9937.32   	4600.000000	9837.69   	4600.000000	21754.9   	4600.000000	22204.1   	4600.000000	30742.5   	
4800.000000	3.56547e+06	4800.000000	3.58828e+06	4800.000000	3.77825e+06	4800.000000	3.8029e+06	4800.000000	3.77828e+06	4800.000000	10198.7   	4800.000000	10348.8   	4800.000000	22459.6   	4800.000000	22994.1   	4800.000000	31878.6   	
5000.000000	3.69787e+06	5000.000000	3.73206e+06	5000.000000	3.9443e+06	5000.000000	3.97001e+06	5000.000000	3.94434e+06	5000.000000	10452.8   	5000.000000	10864.6   	5000.000000	23148.9   	5000.000000	23768.8   	5000.000000	32994.1   	
