! 12C energy loss (dE/dX) in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
880.000000	0.0152066 	880.000000	0.0157622 	880.000000	0.015581  	880.000000	0.015477  	880.000000	0.0155808 	880.000000	0.0157597 	880.000000	2.52451e-06	
900.000000	0.0151166 	900.000000	0.0156772 	900.000000	0.0155009 	900.000000	0.0153971 	900.000000	0.0155005 	900.000000	0.0156747 	900.000000	2.47247e-06	
920.000000	0.0150315 	920.000000	0.0155969 	920.000000	0.0154251 	920.000000	0.0153215 	920.000000	0.0154246 	920.000000	0.0155944 	920.000000	2.4226e-06	
940.000000	0.0149511 	940.000000	0.0155209 	940.000000	0.0153534 	940.000000	0.0152499 	940.000000	0.0153526 	940.000000	0.0155186 	940.000000	2.37478e-06	
960.000000	0.0148752 	960.000000	0.0154492 	960.000000	0.0152852 	960.000000	0.0151821 	960.000000	0.0152845 	960.000000	0.0154468 	960.000000	2.32887e-06	
980.000000	0.0148034 	980.000000	0.0153812 	980.000000	0.0152202 	980.000000	0.0151178 	980.000000	0.0152199 	980.000000	0.015379  	980.000000	2.28477e-06	
1000.000000	0.0147355 	1000.000000	0.015317  	1000.000000	0.0151585 	1000.000000	0.0150569 	1000.000000	0.0151586 	1000.000000	0.0153147 	1000.000000	2.24236e-06	
1020.000000	0.0146713 	1020.000000	0.0152562 	1020.000000	0.0151    	1020.000000	0.014999  	1020.000000	0.0151004 	1020.000000	0.015254  	1020.000000	2.20154e-06	
1040.000000	0.0146106 	1040.000000	0.0151986 	1040.000000	0.0150446 	1040.000000	0.014944  	1040.000000	0.0150452 	1040.000000	0.0151964 	1040.000000	2.16224e-06	
1060.000000	0.0145533 	1060.000000	0.0151441 	1060.000000	0.0149922 	1060.000000	0.0148919 	1060.000000	0.0149928 	1060.000000	0.015142  	1060.000000	2.12437e-06	
1080.000000	0.0144991 	1080.000000	0.0150925 	1080.000000	0.0149425 	1080.000000	0.0148423 	1080.000000	0.0149429 	1080.000000	0.0150904 	1080.000000	2.08784e-06	
1100.000000	0.0144478 	1100.000000	0.0150437 	1100.000000	0.0148953 	1100.000000	0.0147951 	1100.000000	0.0148955 	1100.000000	0.0150416 	1100.000000	2.0526e-06	
1120.000000	0.0143994 	1120.000000	0.0149974 	1120.000000	0.0148503 	1120.000000	0.0147503 	1120.000000	0.0148504 	1120.000000	0.0149954 	1120.000000	2.01856e-06	
1140.000000	0.0143537 	1140.000000	0.0149536 	1140.000000	0.0148075 	1140.000000	0.0147076 	1140.000000	0.0148075 	1140.000000	0.0149516 	1140.000000	1.98567e-06	
1160.000000	0.0143106 	1160.000000	0.0149122 	1160.000000	0.0147668 	1160.000000	0.014667  	1160.000000	0.0147667 	1160.000000	0.0149102 	1160.000000	1.95387e-06	
1180.000000	0.0142699 	1180.000000	0.014873  	1180.000000	0.014728  	1180.000000	0.0146283 	1180.000000	0.0147278 	1180.000000	0.014871  	1180.000000	1.92311e-06	
1200.000000	0.0142315 	1200.000000	0.0148359 	1200.000000	0.014691  	1200.000000	0.0145915 	1200.000000	0.0146908 	1200.000000	0.014834  	1200.000000	1.89334e-06	
1220.000000	0.0141954 	1220.000000	0.0148008 	1220.000000	0.0146559 	1220.000000	0.0145565 	1220.000000	0.0146556 	1220.000000	0.0147989 	1220.000000	1.8645e-06	
1240.000000	0.0141614 	1240.000000	0.0147676 	1240.000000	0.0146225 	1240.000000	0.0145231 	1240.000000	0.014622  	1240.000000	0.0147658 	1240.000000	1.83656e-06	
1260.000000	0.0141294 	1260.000000	0.0147363 	1260.000000	0.0145906 	1260.000000	0.0144913 	1260.000000	0.01459   	1260.000000	0.0147345 	1260.000000	1.80948e-06	
1280.000000	0.0140993 	1280.000000	0.0147067 	1280.000000	0.0145602 	1280.000000	0.014461  	1280.000000	0.0145595 	1280.000000	0.0147049 	1280.000000	1.7832e-06	
1300.000000	0.0140711 	1300.000000	0.0146788 	1300.000000	0.0145311 	1300.000000	0.0144321 	1300.000000	0.0145304 	1300.000000	0.014677  	1300.000000	1.75771e-06	
1320.000000	0.0140447 	1320.000000	0.0146525 	1320.000000	0.0145033 	1320.000000	0.0144045 	1320.000000	0.0145027 	1320.000000	0.0146507 	1320.000000	1.73296e-06	
1340.000000	0.0140199 	1340.000000	0.0146276 	1340.000000	0.0144767 	1340.000000	0.0143783 	1340.000000	0.0144763 	1340.000000	0.0146259 	1340.000000	1.70892e-06	
1360.000000	0.0139968 	1360.000000	0.0146043 	1360.000000	0.0144513 	1360.000000	0.0143532 	1360.000000	0.0144511 	1360.000000	0.0146026 	1360.000000	1.68556e-06	
1380.000000	0.0139753 	1380.000000	0.0145823 	1380.000000	0.0144271 	1380.000000	0.0143294 	1380.000000	0.014427  	1380.000000	0.0145807 	1380.000000	1.66285e-06	
1400.000000	0.0139553 	1400.000000	0.0145617 	1400.000000	0.014404  	1400.000000	0.0143066 	1400.000000	0.0144041 	1400.000000	0.0145601 	1400.000000	1.64077e-06	
1420.000000	0.0139367 	1420.000000	0.0145424 	1420.000000	0.014382  	1420.000000	0.0142849 	1420.000000	0.0143823 	1420.000000	0.0145407 	1420.000000	1.61928e-06	
1440.000000	0.0139195 	1440.000000	0.0145242 	1440.000000	0.0143611 	1440.000000	0.0142643 	1440.000000	0.0143615 	1440.000000	0.0145226 	1440.000000	1.59837e-06	
1460.000000	0.0139037 	1460.000000	0.0145073 	1460.000000	0.0143411 	1460.000000	0.0142446 	1460.000000	0.0143417 	1460.000000	0.0145057 	1460.000000	1.57801e-06	
1480.000000	0.0138891 	1480.000000	0.0144915 	1480.000000	0.0143222 	1480.000000	0.0142258 	1480.000000	0.0143227 	1480.000000	0.0144899 	1480.000000	1.55818e-06	
1500.000000	0.0138758 	1500.000000	0.0144767 	1500.000000	0.0143042 	1500.000000	0.0142079 	1500.000000	0.0143047 	1500.000000	0.0144752 	1500.000000	1.53886e-06	
1520.000000	0.0138636 	1520.000000	0.0144631 	1520.000000	0.0142871 	1520.000000	0.0141908 	1520.000000	0.0142875 	1520.000000	0.0144615 	1520.000000	1.52003e-06	
1540.000000	0.0138526 	1540.000000	0.0144504 	1540.000000	0.0142708 	1540.000000	0.0141746 	1540.000000	0.0142712 	1540.000000	0.0144489 	1540.000000	1.50167e-06	
1560.000000	0.0138428 	1560.000000	0.0144387 	1560.000000	0.0142553 	1560.000000	0.0141591 	1560.000000	0.0142556 	1560.000000	0.0144372 	1560.000000	1.48376e-06	
1580.000000	0.013834  	1580.000000	0.0144279 	1580.000000	0.0142405 	1580.000000	0.0141444 	1580.000000	0.0142407 	1580.000000	0.0144264 	1580.000000	1.46629e-06	
1600.000000	0.0138262 	1600.000000	0.014418  	1600.000000	0.0142265 	1600.000000	0.0141304 	1600.000000	0.0142266 	1600.000000	0.0144165 	1600.000000	1.44924e-06	
1620.000000	0.0138194 	1620.000000	0.0144089 	1620.000000	0.0142131 	1620.000000	0.014117  	1620.000000	0.0142131 	1620.000000	0.0144075 	1620.000000	1.4326e-06	
1640.000000	0.0138136 	1640.000000	0.0144007 	1640.000000	0.0142004 	1640.000000	0.0141043 	1640.000000	0.0142003 	1640.000000	0.0143993 	1640.000000	1.41635e-06	
1660.000000	0.0138088 	1660.000000	0.0143933 	1660.000000	0.0141882 	1660.000000	0.0140922 	1660.000000	0.0141881 	1660.000000	0.0143919 	1660.000000	1.40047e-06	
1680.000000	0.0138048 	1680.000000	0.0143867 	1680.000000	0.0141767 	1680.000000	0.0140808 	1680.000000	0.0141765 	1680.000000	0.0143853 	1680.000000	1.38496e-06	
1700.000000	0.0138017 	1700.000000	0.0143808 	1700.000000	0.0141657 	1700.000000	0.0140699 	1700.000000	0.0141655 	1700.000000	0.0143794 	1700.000000	1.36979e-06	
1750.000000	0.0137977 	1750.000000	0.0143692 	1750.000000	0.0141407 	1750.000000	0.014045  	1750.000000	0.0141404 	1750.000000	0.0143678 	1750.000000	1.33335e-06	
1800.000000	0.0137985 	1800.000000	0.0143617 	1800.000000	0.0141187 	1800.000000	0.0140232 	1800.000000	0.0141184 	1800.000000	0.0143604 	1800.000000	1.29886e-06	
1850.000000	0.0138039 	1850.000000	0.014358  	1850.000000	0.0140996 	1850.000000	0.0140042 	1850.000000	0.0140992 	1850.000000	0.0143567 	1850.000000	1.26616e-06	
1900.000000	0.0138134 	1900.000000	0.0143578 	1900.000000	0.014083  	1900.000000	0.0139878 	1900.000000	0.0140826 	1900.000000	0.0143565 	1900.000000	1.23513e-06	
1950.000000	0.0138269 	1950.000000	0.0143608 	1950.000000	0.0140687 	1950.000000	0.0139737 	1950.000000	0.0140683 	1950.000000	0.0143596 	1950.000000	1.20562e-06	
2000.000000	0.0138441 	2000.000000	0.0143668 	2000.000000	0.0140565 	2000.000000	0.0139617 	2000.000000	0.0140561 	2000.000000	0.0143657 	2000.000000	1.17754e-06	
2100.000000	0.0138884 	2100.000000	0.014387  	2100.000000	0.0140377 	2100.000000	0.0139434 	2100.000000	0.0140374 	2100.000000	0.0143859 	2100.000000	1.12524e-06	
2200.000000	0.0139448 	2200.000000	0.0144167 	2200.000000	0.0140252 	2200.000000	0.0139314 	2200.000000	0.0140252 	2200.000000	0.0144157 	2200.000000	1.07754e-06	
2300.000000	0.0140118 	2300.000000	0.0144549 	2300.000000	0.0140182 	2300.000000	0.0139249 	2300.000000	0.0140184 	2300.000000	0.0144538 	2300.000000	1.03383e-06	
2400.000000	0.0140882 	2400.000000	0.0145003 	2400.000000	0.0140159 	2400.000000	0.0139229 	2400.000000	0.0140162 	2400.000000	0.0144993 	2400.000000	9.93637e-07	
2500.000000	0.0141732 	2500.000000	0.0145521 	2500.000000	0.0140175 	2500.000000	0.0139247 	2500.000000	0.0140178 	2500.000000	0.0145511 	2500.000000	9.56547e-07	
2600.000000	0.0142658 	2600.000000	0.0146096 	2600.000000	0.0140224 	2600.000000	0.0139298 	2600.000000	0.0140226 	2600.000000	0.0146087 	2600.000000	9.2221e-07	
2700.000000	0.0143654 	2700.000000	0.0146721 	2700.000000	0.0140302 	2700.000000	0.0139376 	2700.000000	0.0140302 	2700.000000	0.0146712 	2700.000000	8.90328e-07	
2800.000000	0.0144712 	2800.000000	0.0147391 	2800.000000	0.0140402 	2800.000000	0.0139477 	2800.000000	0.0140402 	2800.000000	0.0147383 	2800.000000	8.60642e-07	
2900.000000	0.0145829 	2900.000000	0.0148102 	2900.000000	0.0140522 	2900.000000	0.0139598 	2900.000000	0.0140521 	2900.000000	0.0148093 	2900.000000	8.32933e-07	
3000.000000	0.0146998 	3000.000000	0.0148848 	3000.000000	0.0140659 	3000.000000	0.0139736 	3000.000000	0.0140657 	3000.000000	0.014884  	3000.000000	8.07006e-07	
3200.000000	0.0149481 	3200.000000	0.0150436 	3200.000000	0.0140973 	3200.000000	0.0140052 	3200.000000	0.014097  	3200.000000	0.0150428 	3200.000000	7.59848e-07	
3400.000000	0.0152134 	3400.000000	0.015213  	3400.000000	0.0141329 	3400.000000	0.0140409 	3400.000000	0.0141326 	3400.000000	0.0152123 	3400.000000	7.18051e-07	
3600.000000	0.0154934 	3600.000000	0.0153913 	3600.000000	0.0141713 	3600.000000	0.0140796 	3600.000000	0.0141711 	3600.000000	0.0153906 	3600.000000	6.80741e-07	
3800.000000	0.0157865 	3800.000000	0.015577  	3800.000000	0.0142119 	3800.000000	0.0141204 	3800.000000	0.0142116 	3800.000000	0.0155763 	3800.000000	6.47227e-07	
4000.000000	0.0160914 	4000.000000	0.0157689 	4000.000000	0.0142538 	4000.000000	0.0141625 	4000.000000	0.0142536 	4000.000000	0.0157683 	4000.000000	6.16951e-07	
4200.000000	0.0164068 	4200.000000	0.0159661 	4200.000000	0.0142967 	4200.000000	0.0142056 	4200.000000	0.0142965 	4200.000000	0.0159655 	4200.000000	5.89461e-07	
4400.000000	0.0167319 	4400.000000	0.0161678 	4400.000000	0.01434   	4400.000000	0.0142491 	4400.000000	0.0143398 	4400.000000	0.0161673 	4400.000000	5.64387e-07	
4600.000000	0.017066  	4600.000000	0.0163735 	4600.000000	0.0143836 	4600.000000	0.0142928 	4600.000000	0.0143834 	4600.000000	0.0163729 	4600.000000	5.4142e-07	
4800.000000	0.0174083 	4800.000000	0.0165825 	4800.000000	0.0144271 	4800.000000	0.0143365 	4800.000000	0.014427  	4800.000000	0.0165819 	4800.000000	5.20303e-07	
5000.000000	0.0177583 	5000.000000	0.0167944 	5000.000000	0.0144705 	5000.000000	0.01438   	5000.000000	0.0144704 	5000.000000	0.0167939 	5000.000000	5.00818e-07	
5250.000000	0.018206  	5250.000000	0.0170629 	5250.000000	0.0145242 	5250.000000	0.0144339 	5250.000000	0.0145241 	5250.000000	0.0170624 	5250.000000	4.78481e-07	
5500.000000	0.0186642 	5500.000000	0.0173347 	5500.000000	0.0145772 	5500.000000	0.0144871 	5500.000000	0.0145772 	5500.000000	0.0173342 	5500.000000	4.58108e-07	
6000.000000	0.01961   	6000.000000	0.0178866 	6000.000000	0.0146808 	6000.000000	0.0145909 	6000.000000	0.0146808 	6000.000000	0.0178862 	6000.000000	4.2229e-07	
6500.000000	0.0205917 	6500.000000	0.018447  	6500.000000	0.0147805 	6500.000000	0.0146908 	6500.000000	0.0147804 	6500.000000	0.0184466 	6500.000000	3.91809e-07	
7000.000000	0.0216065 	7000.000000	0.0190138 	7000.000000	0.0148761 	7000.000000	0.0147866 	7000.000000	0.014876  	7000.000000	0.0190134 	7000.000000	3.65545e-07	
7500.000000	0.0226523 	7500.000000	0.0195853 	7500.000000	0.0149673 	7500.000000	0.0148782 	7500.000000	0.0149674 	7500.000000	0.019585  	7500.000000	3.42671e-07	
8000.000000	0.0237275 	8000.000000	0.0201605 	8000.000000	0.0150547 	8000.000000	0.0149659 	8000.000000	0.0150549 	8000.000000	0.0201602 	8000.000000	3.22566e-07	
8500.000000	0.0248308 	8500.000000	0.0207384 	8500.000000	0.0151385 	8500.000000	0.0150496 	8500.000000	0.0151384 	8500.000000	0.0207381 	8500.000000	3.04751e-07	
9000.000000	0.0259613 	9000.000000	0.0213184 	9000.000000	0.0152186 	9000.000000	0.0151298 	9000.000000	0.0152184 	9000.000000	0.0213181 	9000.000000	2.88854e-07	
9500.000000	0.0271183 	9500.000000	0.0218999 	9500.000000	0.0152951 	9500.000000	0.0152065 	9500.000000	0.0152949 	9500.000000	0.0218996 	9500.000000	2.74576e-07	
10000.000000	0.0283012 	10000.000000	0.0224825 	10000.000000	0.015368  	10000.000000	0.01528   	10000.000000	0.0153681 	10000.000000	0.0224823 	10000.000000	2.61682e-07	
11000.000000	0.0307426 	11000.000000	0.0236501 	11000.000000	0.0155052 	11000.000000	0.015418  	11000.000000	0.0155058 	11000.000000	0.0236499 	11000.000000	2.39301e-07	
12000.000000	0.0332829 	12000.000000	0.0248192 	12000.000000	0.0156328 	12000.000000	0.0155455 	12000.000000	0.0156328 	12000.000000	0.024819  	12000.000000	2.20539e-07	
13000.000000	0.03592   	13000.000000	0.0259887 	13000.000000	0.0157508 	13000.000000	0.0156637 	13000.000000	0.0157505 	13000.000000	0.0259885 	13000.000000	2.04576e-07	
14000.000000	0.0386527 	14000.000000	0.0271577 	14000.000000	0.0158602 	14000.000000	0.0157737 	14000.000000	0.01586   	14000.000000	0.0271575 	14000.000000	1.90824e-07	
15000.000000	0.0414802 	15000.000000	0.0283257 	15000.000000	0.0159618 	15000.000000	0.0158765 	15000.000000	0.0159622 	15000.000000	0.0283255 	15000.000000	1.7885e-07	
16000.000000	0.0444018 	16000.000000	0.0294924 	16000.000000	0.0160571 	16000.000000	0.0159728 	16000.000000	0.0160579 	16000.000000	0.0294922 	16000.000000	1.68328e-07	
17000.000000	0.0474173 	17000.000000	0.0306575 	17000.000000	0.0161468 	17000.000000	0.0160634 	17000.000000	0.0161479 	17000.000000	0.0306574 	17000.000000	1.59007e-07	
18000.000000	0.0505265 	18000.000000	0.0318209 	18000.000000	0.0162317 	18000.000000	0.0161488 	18000.000000	0.0162327 	18000.000000	0.0318208 	18000.000000	1.50689e-07	
19000.000000	0.0537294 	19000.000000	0.0329825 	19000.000000	0.0163121 	19000.000000	0.0162296 	19000.000000	0.0163129 	19000.000000	0.0329824 	19000.000000	1.43221e-07	
20000.000000	0.0570261 	20000.000000	0.0341422 	20000.000000	0.0163885 	20000.000000	0.0163062 	20000.000000	0.0163888 	20000.000000	0.0341421 	20000.000000	1.36477e-07	
21000.000000	0.0604165 	21000.000000	0.0353    	21000.000000	0.0164609 	21000.000000	0.016379  	21000.000000	0.0164609 	21000.000000	0.0352999 	21000.000000	1.30356e-07	
22000.000000	0.0639011 	22000.000000	0.0364559 	22000.000000	0.0165293 	22000.000000	0.0164484 	22000.000000	0.0165294 	22000.000000	0.0364558 	22000.000000	1.24775e-07	
23000.000000	0.0674799 	23000.000000	0.0376099 	23000.000000	0.0165946 	23000.000000	0.0165145 	23000.000000	0.0165948 	23000.000000	0.0376098 	23000.000000	1.19664e-07	
24000.000000	0.0711534 	24000.000000	0.038762  	24000.000000	0.016657  	24000.000000	0.0165778 	24000.000000	0.0166572 	24000.000000	0.0387618 	24000.000000	1.14966e-07	
25000.000000	0.0749217 	25000.000000	0.0399122 	25000.000000	0.0167168 	25000.000000	0.0166383 	25000.000000	0.0167169 	25000.000000	0.0399121 	25000.000000	1.10633e-07	
26000.000000	0.0787853 	26000.000000	0.0410605 	26000.000000	0.016774  	26000.000000	0.0166964 	26000.000000	0.0167741 	26000.000000	0.0410604 	26000.000000	1.06623e-07	
27000.000000	0.0827446 	27000.000000	0.0422071 	27000.000000	0.0168291 	27000.000000	0.0167522 	27000.000000	0.016829  	27000.000000	0.042207  	27000.000000	1.02902e-07	
28000.000000	0.0867998 	28000.000000	0.0433518 	28000.000000	0.016882  	28000.000000	0.0168059 	28000.000000	0.0168817 	28000.000000	0.0433517 	28000.000000	9.94379e-08	
29000.000000	0.0909515 	29000.000000	0.0444949 	29000.000000	0.0169328 	29000.000000	0.0168575 	29000.000000	0.0169324 	29000.000000	0.0444948 	29000.000000	9.62057e-08	
30000.000000	0.0952001 	30000.000000	0.0456362 	30000.000000	0.0169817 	30000.000000	0.0169074 	30000.000000	0.0169813 	30000.000000	0.0456361 	30000.000000	9.31827e-08	
32000.000000	0.10399   	32000.000000	0.0479138 	32000.000000	0.0170744 	32000.000000	0.017002  	32000.000000	0.0170738 	32000.000000	0.0479138 	32000.000000	8.76867e-08	
34000.000000	0.113172  	34000.000000	0.0501851 	34000.000000	0.0171609 	34000.000000	0.0170905 	34000.000000	0.0171601 	34000.000000	0.050185  	34000.000000	8.28187e-08	
36000.000000	0.122751  	36000.000000	0.0524503 	36000.000000	0.0172417 	36000.000000	0.0171737 	36000.000000	0.0172409 	36000.000000	0.0524502 	36000.000000	7.84758e-08	
38000.000000	0.132731  	38000.000000	0.0547096 	38000.000000	0.0173174 	38000.000000	0.0172521 	38000.000000	0.0173168 	38000.000000	0.0547095 	38000.000000	7.45769e-08	
40000.000000	0.143116  	40000.000000	0.0569633 	40000.000000	0.0173886 	40000.000000	0.0173262 	40000.000000	0.0173883 	40000.000000	0.0569632 	40000.000000	7.10566e-08	
42000.000000	0.153909  	42000.000000	0.0592117 	42000.000000	0.0174559 	42000.000000	0.0173965 	42000.000000	0.0174558 	42000.000000	0.0592116 	42000.000000	6.78619e-08	
44000.000000	0.165116  	44000.000000	0.0614549 	44000.000000	0.0175199 	44000.000000	0.0174632 	44000.000000	0.0175197 	44000.000000	0.0614548 	44000.000000	6.49492e-08	
46000.000000	0.176741  	46000.000000	0.0636932 	46000.000000	0.0175809 	46000.000000	0.0175268 	46000.000000	0.0175803 	46000.000000	0.0636932 	46000.000000	6.22825e-08	
48000.000000	0.188787  	48000.000000	0.0659268 	48000.000000	0.0176391 	48000.000000	0.0175875 	48000.000000	0.0176379 	48000.000000	0.0659268 	48000.000000	5.98316e-08	
50000.000000	0.20126   	50000.000000	0.0681559 	50000.000000	0.0176945 	50000.000000	0.0176456 	50000.000000	0.0176927 	50000.000000	0.0681559 	50000.000000	5.75711e-08	
