! 12C energy loss (dE/dX) in Si
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
1.500000	1.14471   	1.500000	0.951424  	1.500000	0.907978  	1.500000	0.907978  	1.500000	0.907978  	1.500000	0.950634  	1.500000	0.000789941	
1.750000	1.0546    	1.750000	0.884216  	1.750000	0.851006  	1.750000	0.851006  	1.750000	0.851006  	1.750000	0.883525  	1.750000	0.000691417	
2.000000	0.970759  	2.000000	0.820864  	2.000000	0.80122   	2.000000	0.80122   	2.000000	0.801221  	2.000000	0.820248  	2.000000	0.000615848	
2.250000	0.90102   	2.250000	0.767187  	2.250000	0.757196  	2.250000	0.757196  	2.250000	0.757196  	2.250000	0.766631  	2.250000	0.000555934	
2.500000	0.839128  	2.500000	0.721986  	2.500000	0.717942  	2.500000	0.717942  	2.500000	0.717943  	2.500000	0.721479  	2.500000	0.000507194	
3.000000	0.74778   	3.000000	0.649008  	3.000000	0.650933  	3.000000	0.650933  	3.000000	0.650933  	3.000000	0.648575  	3.000000	0.000432545	
3.500000	0.675207  	3.500000	0.591455  	3.500000	0.595877  	3.500000	0.595877  	3.500000	0.595877  	3.500000	0.591077  	3.500000	0.000377916	
4.000000	0.616147  	4.000000	0.544675  	4.000000	0.549875  	4.000000	0.549875  	4.000000	0.549876  	4.000000	0.544339  	4.000000	0.000336105	
4.500000	0.567124  	4.500000	0.505703  	4.500000	0.510884  	4.500000	0.510884  	4.500000	0.510884  	4.500000	0.5054    	4.500000	0.000303017	
5.000000	0.525756  	5.000000	0.472566  	5.000000	0.477419  	5.000000	0.477419  	5.000000	0.477419  	5.000000	0.47229   	5.000000	0.000276142	
5.500000	0.490362  	5.500000	0.443959  	5.500000	0.448381  	5.500000	0.448381  	5.500000	0.448381  	5.500000	0.443705  	5.500000	0.000253856	
6.000000	0.459721  	6.000000	0.418963  	6.000000	0.42294   	6.000000	0.42294   	6.000000	0.42294   	6.000000	0.418728  	6.000000	0.00023506	
6.500000	0.432923  	6.500000	0.396908  	6.500000	0.400461  	6.500000	0.400461  	6.500000	0.400461  	6.500000	0.396689  	6.500000	0.000218981	
7.000000	0.409279  	7.000000	0.377283  	7.000000	0.380448  	7.000000	0.380448  	7.000000	0.380448  	7.000000	0.377078  	7.000000	0.000205061	
7.500000	0.388257  	7.500000	0.359696  	7.500000	0.36251   	7.500000	0.36251   	7.500000	0.36251   	7.500000	0.359504  	7.500000	0.000192886	
8.000000	0.369437  	8.000000	0.343837  	8.000000	0.346335  	8.000000	0.346335  	8.000000	0.346336  	8.000000	0.343654  	8.000000	0.000182143	
8.500000	0.352485  	8.500000	0.329454  	8.500000	0.331671  	8.500000	0.331671  	8.500000	0.331671  	8.500000	0.329282  	8.500000	0.000172589	
9.000000	0.337133  	9.000000	0.316347  	9.000000	0.31831   	9.000000	0.31831   	9.000000	0.31831   	9.000000	0.316183  	9.000000	0.000164033	
9.500000	0.323161  	9.500000	0.304348  	9.500000	0.306084  	9.500000	0.306084  	9.500000	0.306084  	9.500000	0.304192  	9.500000	0.000156325	
10.000000	0.310389  	10.000000	0.294639  	10.000000	0.294849  	10.000000	0.294849  	10.000000	0.294849  	10.000000	0.29449   	10.000000	0.000149343	
11.000000	0.287866  	11.000000	0.274797  	11.000000	0.274452  	11.000000	0.274669  	11.000000	0.274517  	11.000000	0.27466   	11.000000	0.000137176	
12.000000	0.268626  	12.000000	0.257567  	12.000000	0.256844  	12.000000	0.257203  	12.000000	0.256938  	12.000000	0.257441  	12.000000	0.000126924	
13.000000	0.251989  	13.000000	0.242475  	13.000000	0.241477  	13.000000	0.241927  	13.000000	0.241579  	13.000000	0.242357  	13.000000	0.000118162	
14.000000	0.237455  	14.000000	0.229149  	14.000000	0.227937  	14.000000	0.228447  	14.000000	0.228038  	14.000000	0.229039  	14.000000	0.000110582	
15.000000	0.224643  	15.000000	0.217301  	15.000000	0.215906  	15.000000	0.216455  	15.000000	0.216005  	15.000000	0.217197  	15.000000	0.000103958	
16.000000	0.21326   	16.000000	0.206697  	16.000000	0.205147  	16.000000	0.205713  	16.000000	0.205236  	16.000000	0.206599  	16.000000	9.81168e-05	
17.000000	0.203076  	17.000000	0.197153  	17.000000	0.195464  	17.000000	0.196031  	17.000000	0.195539  	17.000000	0.19706   	17.000000	9.29251e-05	
